Percentile	0	25	50	75	100	0	25	50	75	100									
Group	BRD	BRD	BRD	BRD	BRD	Healthy	Healthy	Healthy	Healthy	Healthy									
ASV8087	1	1	1	10	150	1	1	1	1	5	Firmicutes	ÊNegativicutes	ÊVeillonellales-Selenomonadales	ÊVeillonellaceae	ÊVeillonella	ÊVeillonella	1	8ba95dc9039b445b0e6a78ce16089a94	ASV8087
