Percentile	0	25	50	75	100	0	25	50	75	100									
Group	BRD	BRD	BRD	BRD	BRD	Healthy	Healthy	Healthy	Healthy	Healthy									
ASV1662	1	1	1	1	234	1	1	14	60.5	1279	Proteobacteria	ÊGammaproteobacteria	ÊPseudomonadales	ÊMoraxellaceae	ÊPsychrobacter	ÊPsychrobacter	0.9998724	20403609829bfb892cf3245e867e6060	ASV1662
