# Constructed from biom file
#OTU ID	Dairy1	Dairy10	Dairy100	Dairy11	Dairy12	Dairy13	Dairy14	Dairy15	Dairy16	Dairy17	Dairy18	Dairy19	Dairy20	Dairy21	Dairy22	Dairy23	Dairy24	Dairy25	Dairy26	Dairy27	Dairy28	Dairy29	Dairy3	Dairy30	Dairy31	Dairy33	Dairy34	Dairy35	Dairy36	Dairy37	Dairy38	Dairy39	Dairy4	Dairy40	Dairy41	Dairy42	Dairy43	Dairy44	Dairy45	Dairy46	Dairy47	Dairy48	Dairy49	Dairy5	Dairy50	Dairy51	Dairy52	Dairy53	Dairy54	Dairy55	Dairy56	Dairy57	Dairy58	Dairy59	Dairy6	Dairy60	Dairy61	Dairy62	Dairy63	Dairy65	Dairy66	Dairy67	Dairy68	Dairy69	Dairy7	Dairy70	Dairy71	Dairy72	Dairy73	Dairy74	Dairy75	Dairy77	Dairy78	Dairy79	Dairy8	Dairy80	Dairy81	Dairy82	Dairy83	Dairy84	Dairy85	Dairy86	Dairy87	Dairy88	Dairy89	Dairy9	Dairy90	Dairy91	Dairy92	Dairy93	Dairy94	Dairy95	Dairy96	Dairy97	Dairy98	Dairy99
ASV6991	0	0	2930	0	0	22	0	0	0	14	1313	1506	0	348	54	98	41	1404	0	0	11	0	0	0	0	16	0	0	0	0	0	0	0	5	30	0	0	0	165	0	80	0	64	0	91	0	106	5	0	0	0	0	12	13	0	0	12	26	82	0	0	27	0	0	0	75	14	332	0	0	14	0	0	26	435	0	0	0	11	0	14	85	0	0	265	70	19	0	593	0	0	52	0	0	149	34
ASV2138	0	294	32	1244	23	50	0	39	108	90	24	18	50	26	64	101	21	0	49	136	16	77	51	256	121	27	198	33	156	0	121	89	47	139	27	0	203	58	351	96	195	83	41	1365	151	47	74	195	33	24	23	112	654	69	5176	929	56	20	61	389	67	22	12	111	17	356	68	183	0	0	89	13	465	19	17	18	0	70	249	54	13	343	342	306	130	11	13	563	124	168	131	142	234	55	401	1191
ASV6390	144	0	998	0	129	705	19	677	456	1132	542	101	363	596	397	539	139	159	237	1402	153	1093	717	935	281	506	709	310	1053	0	2231	582	2126	584	270	93	1077	105	1909	2725	172	663	1216	0	78	574	519	72	405	281	153	2145	788	409	0	231	673	293	323	714	226	237	155	599	416	685	464	221	43	93	550	93	394	319	108	169	200	505	1080	572	96	2392	4534	4352	947	104	197	36	1024	855	813	147	1377	478	718	1045
ASV576	126	0	1122	0	101	790	0	565	441	1124	289	75	252	303	306	471	159	166	250	1434	179	1159	722	1215	239	442	690	247	890	0	1935	458	2329	567	270	89	1233	56	1581	2075	175	588	1373	0	106	412	406	22	408	211	154	1864	689	422	0	432	661	221	246	281	191	188	128	483	471	399	325	127	42	93	612	91	191	308	84	121	235	433	809	549	81	2499	4046	3505	980	119	194	35	790	783	784	219	925	520	833	790
ASV2376	0	0	0	143	0	0	0	23	0	16	6	0	23	14	11	10	0	0	38	0	0	63	0	397	8	8	29	0	49	0	514	23	39	44	12	0	48	46	131	93	165	0	39	422	10	32	0	24	0	11	0	20	135	0	1600	130	0	9	0	45	13	0	0	12	21	0	0	91	0	0	31	21	41	23	0	0	0	22	41	22	0	45	77	190	37	0	14	125	0	71	36	42	33	51	69	119
ASV6537	0	0	0	0	0	0	0	224	257	0	3628	1042	783	114	12	4109	303	1491	2542	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	1570	10	6536	7	0	4591	974	8	2390	0	19	75	646	98	2388	434	348	20	308	2260	0	2114	5471	662	3404	17920	1606	3239	7560	2052	0	846	2205	205	201	478	13	284	922	108	0	4440	184	5138	4387	1465	5	4408	0	0	6221	0	0	0	0	0	0	299	0	0	401	0
ASV2832	0	0	2065	0	0	0	0	0	0	1075	41	571	1290	414	59	144	0	3293	18	758	414	3658	0	74	0	0	0	0	0	0	0	0	0	0	29	747	0	5	172	69	55	0	1067	0	108	0	106	0	23	0	0	157	0	173	0	0	60	150	0	0	0	458	0	697	0	39	394	23	0	0	74	18	207	16	0	89	0	345	787	179	0	547	96	74	2186	3	1139	263	3490	1361	0	34	738	0	1061	3159
ASV10991	0	0	6	0	0	0	0	32	0	0	0	0	30	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	18	0	14	0	0	28	0	0	0	25	0	0	142	137	101	0	67	6	3	0	0	2	0	0	0	0	65	0	929	64	4	0	0	26	10	0	10	9	0	0	0	0	0	0	6	49	0	18	72	11	0	0	0	0	33	0	12	7	0	0	0	0	0	0
ASV5188	12	0	71	0	0	996	0	95	6	0	0	0	0	0	0	0	0	0	0	0	0	0	323	0	0	0	0	0	0	0	0	0	548	0	15	0	0	0	71	19	0	15	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	78	18	0	0	0	315	0	0	0	351	0	44	0	0	0	0	0	28	46	0	0	67	0	73	0	0	34	12	0	0	9
ASV684	0	0	0	0	0	24	60	42	0	0	2675	7738	0	0	0	0	0	0	11525	60	0	0	0	0	0	0	0	24	0	0	18	0	13	0	0	0	0	8	29	0	1002	2217	0	0	12801	3590	30	5649	0	2980	4921	77	0	12213	10	0	0	0	17850	0	0	73	0	0	9	286	0	0	46	0	0	0	0	0	883	0	0	99	34	0	0	228	0	0	376	3815	0	0	0	0	18	893	0	0	0	0
ASV10026	0	0	0	0	0	0	14	0	0	0	0	51	0	42	0	0	303	485	1197	0	21	0	0	48	8	42	0	0	0	0	0	0	0	0	49	0	0	0	40	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	306	0	0	0	0	0	0	120	0	0	34	0	0	0	0	53	6	0	19	0	0	0	0	0	0	1501	8	0	0
ASV9530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0
ASV3317	4	0	0	0	0	0	18	0	532	0	10	0	0	185	0	1505	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	296	0	0	0	0	284	146	4832	0	11	1000	4	0	0	139	256	0	0	768	0	8	69	1291	7	73	78	18	18	36	0	71	112	8	0	4	20	43	0	40	0	31	237	30	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0
ASV10027	150	0	0	0	0	15	0	7	0	0	6	20	21	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	58	0	0	0	0	0	11	0	3	17	0	0	17	0	0	117	51	9	3	0	119	28	0	0	0	11	0	0	21	0	0	0	0	19	8	0	0	0	0	0	0	0	0	0	0	0	154	0	0	2	0
ASV6102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	825	8201	27756	0	0	0	0	128	0	17460	681	0	23804	0	0	0	16363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV6513	0	0	0	0	0	0	0	0	5089	0	0	1387	1350	4684	3583	946	1588	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3015	5	0	0	8490	164	193	0	0	203	82	401	0	2105	619	577	0	258	0	0	1161	1544	231	375	22	3961	1088	1675	0	3540	4111	460	90	1630	1358	0	105	1859	0	3032	0	0	0	4	0	0	79	17	0	0	0	0	0	0	20	68	12	0	0	0
ASV6471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	371	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
ASV8500	0	0	9	0	0	0	0	0	14	162	0	33	849	0	0	0	0	647	0	8	0	0	0	0	0	0	0	0	0	0	0	8	0	19	8	0	0	0	0	0	38	0	5	0	20	764	0	0	0	0	14	0	0	0	0	0	0	0	23	190	0	0	8	0	0	0	0	1326	0	0	0	0	0	0	306	0	0	0	16	0	0	10	0	0	299	0	0	0	0	0	0	0	0	13	2720	544
ASV1186	14	0	0	0	1298	0	747	0	0	0	0	0	20	0	7117	0	0	0	27	0	0	0	0	0	0	14761	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	81	0	0	0	1989	0	0	0	0	0	0	0	0	76	0	0	0	0	497	0	0	2918	0	0	0	352	0	78	0	0	0	0	286	0	116	4329	10250	0	44	0	5806	1301	0	0	0	0
