Name,Status,State,Farm,animal,Date of colleciton,RectaTemp,16S copies,copy_log,copies,pre_abs,AveMean,Bacteria
Dairy 306,Healthy,TX,Full Circle,calf,1/1/22,102.2,25588555.44,2.278753601,190,0,344130.7507,H.somni
Dairy 307,BRD,TX,Full Circle,calf,1/1/22,104.3,230,3.401494606,2520.545876,1,569780.5951,H.somni
Dairy 308,Healthy,TX,Full Circle,calf,1/1/22,102.2,331355406.3,4.466186101,29254.05682,1,315066.6939,H.somni
Dairy 309,BRD,TX,Full Circle,calf,1/1/22,101.7,30952416.47,3.791858237,6192.389091,1,566108.7519,H.somni
Dairy 310,Healthy,TX,Full Circle,calf,1/1/22,100.5,51889054702,3.667214148,4647.443819,1,339673.3069,H.somni
Dairy 311,BRD,TX,Full Circle,calf,1/1/22,102.3,4233266.1,2.278753601,190,0,572111.141,H.somni
Dairy 312,Healthy,TX,Full Circle,calf,1/1/22,102.2,41210229.74,3.214643946,1639.245297,1,342681.5054,H.somni
Dairy 313,BRD,TX,Full Circle,calf,1/1/22,102.5,179242264.7,2.278753601,190,0,572111.141,H.somni
Dairy 314,BRD,TX,Full Circle,calf,1/1/22,101.1,3697683.68,3.064096426,1159.034666,1,571142.1063,H.somni
Dairy 315,Healthy,TX,Full Circle,calf,1/1/22,101.6,273132440.1,4.987930241,97259.09878,1,247061.652,H.somni
Dairy261,Healthy,TX,Full Circle,calf,1/1/22,102.7,364984.13,4.915345023,82289.61351,1,262031.1372,H.somni
Dairy262,BRD,TX,Full Circle,calf,1/1/22,102.7,32633739.58,7.637160927,43367154.48,1,-42794853.34,H.somni
Dairy263,Healthy,TX,Full Circle,calf,1/1/22,101.8,1329423.04,4.35272807,22528.28178,1,321792.469,H.somni
Dairy264,BRD,TX,Full Circle,calf,1/1/22,102.8,90585267.2,6.276436997,1889892.045,1,-1317590.904,H.somni
Dairy265,Healthy,TX,Full Circle,calf,1/1/22,103,13764700.68,5.881943622,761980.0869,1,-417659.3362,H.somni
Dairy266,Healthy,TX,Full Circle,calf,1/1/22,102.1,2330855154,6.969186332,9315074.479,1,-8970753.728,H.somni
Dairy267,BRD,TX,Full Circle,calf,1/1/22,104.9,9492829.62,4.797586882,62746.12096,1,509555.02,H.somni
Dairy268,Healthy,TX,Full Circle,calf,1/1/22,101.9,2740303.3,4.852788763,71250.63891,1,273070.1118,H.somni
Dairy269,Healthy,TX,Full Circle,calf,1/1/22,101.7,901424.82,3.77449804,5949.740714,1,338371.01,H.somni
Dairy270,BRD,TX,Full Circle,calf,1/1/22,102.3,8406210.85,3.92708195,8454.383625,1,563846.7573,H.somni
Dairy271,BRD,TX,Full Circle,calf,1/1/22,104.8,6980938025,2.278753601,190,0,572111.141,H.somni
Dairy272,Healthy,TX,Full Circle,calf,1/1/22,102.6,4417345.45,2.278753601,190,0,344130.7507,H.somni
Dairy273,BRD,TX,Full Circle,calf,1/1/22,103.8,49822022.77,4.152154943,14195.63887,1,558105.5021,H.somni
Dairy274,Healthy,TX,Full Circle,calf,1/1/22,102.2,36480.63,2.278753601,190,0,344130.7507,H.somni
Dairy275,Healthy,TX,Full Circle,calf,1/1/22,102.9,231095.36,2.278753601,190,0,344130.7507,H.somni
Dairy276,BRD,TX,Full Circle,calf,1/1/22,102.5,232636300.1,3.336494337,2170.172904,1,570130.9681,H.somni
Dairy277,BRD,TX,Full Circle,calf,1/1/22,102.7,2225205507,3.19205022,1556.145567,1,570744.9954,H.somni
Dairy278,Healthy,TX,Full Circle,calf,1/1/22,102.2,55268225.83,3.32720906,2124.266794,1,342196.4839,H.somni
Dairy279,Healthy,TX,Full Circle,calf,1/1/22,103.2,41520921.17,3.399707408,2510.194701,1,341810.556,H.somni
Dairy280,BRD,TX,Full Circle,calf,1/1/22,103.8,24797248.68,4.168856718,14752.19749,1,557548.9435,H.somni
Dairy281,Healthy,TX,Full Circle,calf,1/1/22,102.1,7787709.15,2.278753601,190,0,344130.7507,H.somni
Dairy282,BRD,TX,Full Circle,calf,1/1/22,103,16626636.27,3.166109085,1465.916,1,570835.225,H.somni
Dairy283,BRD,TX,Full Circle,calf,1/1/22,103,688406967.7,3.26657111,1847.443267,1,570453.6977,H.somni
Dairy284,Healthy,TX,Full Circle,calf,1/1/22,102.2,149815139.7,3.154523776,1427.327969,1,342893.4228,H.somni
Dairy 317,Healthy,CA,Gold Star Cattle,calf,07/14-15/2022,104.8,40085857.12,5.82361878,666221.7081,1,-321900.9574,H.somni
Dairy 318,Healthy,CA,Gold Star Cattle,calf,07/14-15/2022,102.1,28692176.66,2.278753601,190,0,344130.7507,H.somni
Dairy 320,Healthy,CA,Gold Star Cattle,calf,07/14-15/2022,102.3,36452185.67,2.278753601,190,0,344130.7507,H.somni
Dairy 321,Healthy,CA,Gold Star Cattle,calf,07/14-15/2022,102.2,1768482158,3.183889996,1527.179185,1,342793.5716,H.somni
Dairy 322,Healthy,CA,Gold Star Cattle,calf,07/14-15/2022,101.7,100649804.7,4.931406536,85389.90603,1,258930.8447,H.somni
Dairy 323,Healthy,CA,Gold Star Cattle,calf,07/14-15/2022,103,96534386.67,2.278753601,190,0,344130.7507,H.somni
Dairy 324,Healthy,CA,Gold Star Cattle,calf,07/14-15/2022,102.1,61129340.84,5.424319183,265655.7272,1,78665.02354,H.somni
Dairy 325,Healthy,CA,Gold Star Cattle,calf,07/14-15/2022,102.4,67080263.87,4.283471525,19207.53022,1,325113.2205,H.somni
Dairy 326,Healthy,CA,Gold Star Cattle,calf,07/14-15/2022,101.7,66021510.97,4.367593582,23312.75404,1,321007.9967,H.somni
Dairy 327,Healthy,CA,Gold Star Cattle,calf,07/14-15/2022,101.7,433332908.1,2.278753601,190,0,344130.7507,H.somni
Dairy 328,Healthy,CA,Gold Star Cattle,calf,07/14-15/2022,102.7,520435515.5,3.524099099,3342.713068,1,340978.0377,H.somni
Dairy 329,Healthy,CA,Gold Star Cattle,calf,07/14-15/2022,103.2,988946487.3,5.455021117,285115.69,1,59205.06074,H.somni
Dairy 330,Healthy,CA,Gold Star Cattle,calf,07/14-15/2022,101.5,198233852.9,3.059898478,1147.885256,1,343172.8655,H.somni
Dairy 331,Healthy,CA,Gold Star Cattle,calf,07/14-15/2022,105.1,645695102.4,5.833301774,681242.5633,1,-336921.8126,H.somni
Dairy 332,Healthy,CA,Gold Star Cattle,calf,07/14-15/2022,101.4,742628005.9,3.023029832,1054.459327,1,343266.2914,H.somni
Dairy 333,Healthy,CA,Gold Star Cattle,calf,07/14-15/2022,102.3,51461981.47,4.214457657,16385.42299,1,327935.3277,H.somni
Dairy 334,Healthy,CA,Gold Star Cattle,calf,07/14-15/2022,102.1,1968376377,4.564079491,36650.46517,1,307670.2856,H.somni
Dairy 335,Healthy,CA,Gold Star Cattle,calf,07/14-15/2022,102.9,1284293255,3.22838947,1691.957579,1,342628.7932,H.somni
Dairy 336,Healthy,CA,Gold Star Cattle,calf,07/14-15/2022,102.2,575102443.1,3.030629026,1073.072403,1,343247.6783,H.somni
Dairy 337,Healthy,CA,Gold Star Cattle,calf,07/14-15/2022,103,183084301.2,5.299447237,199272.4392,1,145048.3115,H.somni
Dairy 338,Healthy,CA,Gold Star Cattle,calf,07/14-15/2022,102.8,97968476.05,6.216177258,1645043.015,1,-1300722.264,H.somni
Dairy 340,Healthy,CA,Gold Star Cattle,calf,07/14-15/2022,102.5,803943132.5,3.029633031,1070.614279,1,343250.1365,H.somni
Dairy 341,Healthy,CA,Gold Star Cattle,calf,07/14-15/2022,102,18779794.78,3.119690297,1317.317,1,343003.4337,H.somni
Dairy 342,Healthy,CA,Gold Star Cattle,calf,07/14-15/2022,101.9,808277383.2,5.918317647,828547.9505,1,-484227.1998,H.somni
Dairy 343,Healthy,CA,Gold Star Cattle,calf,07/14-15/2022,101.9,260804089.6,2.950231443,891.7260287,1,343429.0247,H.somni
Dairy 344,Healthy,CA,Gold Star Cattle,calf,07/14-15/2022,102.6,433388929.4,2.891443306,778.8311363,1,343541.9196,H.somni
Dairy 345,Healthy,CA,Gold Star Cattle,calf,07/14-15/2022,102.2,641261923.3,4.97907721,95296.55691,1,249024.1938,H.somni
Dairy 346,Healthy,CA,Gold Star Cattle,calf,07/14-15/2022,102.2,409388298.6,2.278753601,190,0,344130.7507,H.somni
Dairy 347,Healthy,CA,Gold Star Cattle,calf,07/14-15/2022,102.3,34216442.68,2.967448778,927.7880578,1,343392.9627,H.somni
Dairy 348,Healthy,CA,Gold Star Cattle,calf,07/14-15/2022,102.7,3787337077,3.059775,1147.558937,1,343173.1918,H.somni
Dairy 349,Healthy,CA,Gold Star Cattle,calf,07/14-15/2022,103.8,652393175.7,3.487514848,3072.662417,1,341248.0883,H.somni
Dairy 351,Healthy,CA,Gold Star Cattle,calf,07/14-15/2022,102.2,339570249.2,2.278753601,190,0,344130.7507,H.somni
Dairy 352,Healthy,CA,Gold Star Cattle,calf,07/14-15/2022,102.7,5205039881,5.660350978,457457.7379,1,-113136.9872,H.somni
Dairy 355,Healthy,CA,Gold Star Cattle,calf,07/14-15/2022,101.8,199997264.6,3.169411438,1477.105236,1,342843.6455,H.somni
Dairy 356,Healthy,CA,Gold Star Cattle,calf,07/14-15/2022,101.9,128040305.7,3.027493798,1065.353651,1,343255.3971,H.somni
Dairy 357,Healthy,CA,Gold Star Cattle,calf,07/14-15/2022,101.7,995815969.8,5.968855999,930799.1949,1,-586478.4442,H.somni
Dairy 358,Healthy,CA,Gold Star Cattle,calf,07/14-15/2022,102.2,380132264.9,4.857732247,72066.30355,1,272254.4472,H.somni
Dairy 359,Healthy,CA,Gold Star Cattle,calf,07/14-15/2022,100.9,50149516.65,4.949639147,89051.07108,1,255269.6797,H.somni
Dairy 360,Healthy,CA,Gold Star Cattle,calf,07/14-15/2022,101.4,175862209.2,3.073465104,1184.309203,1,343136.4415,H.somni
Dairy 361,Healthy,CA,Gold Star Cattle,calf,07/14-15/2022,102,463570905.3,2.898677268,791.9126276,1,343528.8381,H.somni
Dairy 362,Healthy,CA,Gold Star Cattle,calf,07/14-15/2022,102.8,285561307.9,5.725619002,531641.6556,1,-187320.9049,H.somni
Dairy 363,Healthy,CA,Gold Star Cattle,calf,07/14-15/2022,101.2,206196761.5,5.989711365,976587.9591,1,-632267.2084,H.somni
Dairy 364,Healthy,CA,Gold Star Cattle,calf,07/14-15/2022,102.8,705562142,5.574132075,375087.0545,1,-30766.30376,H.somni
Dairy 365,Healthy,CA,Gold Star Cattle,calf,07/14-15/2022,102.3,94752984.77,3.093956445,1241.527788,1,343079.223,H.somni
Dairy 366,Healthy,CA,Gold Star Cattle,calf,07/14-15/2022,102.3,66200848.46,4.722603661,52796.321,1,291524.4297,H.somni
Dairy 367,Healthy,CA,Gold Star Cattle,calf,07/14-15/2022,101.8,235633969.7,4.356816106,22741.34288,1,321579.4079,H.somni
Dairy 368,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,101.2,607148424.2,2.278753601,190,0,572111.141,H.somni
Dairy 369,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,101.2,4106046697,3.048752791,1118.80086,1,571182.3401,H.somni
Dairy 370,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,101.2,571719904.9,2.278753601,190,0,572111.141,H.somni
Dairy 372,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,100.8,1421843621,3.325440876,2115.635645,1,570185.5053,H.somni
Dairy 373,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,101.2,84513906.38,5.082341421,120876.3733,1,451424.7677,H.somni
Dairy 374,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,102.9,1172828996,3.259403862,1817.204745,1,570483.9362,H.somni
Dairy 375,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,101.6,818654622.3,3.901646751,7973.458727,1,564327.6822,H.somni
Dairy 376,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,101.8,855819393.9,3.967789603,9285.164517,1,563015.9765,H.somni
Dairy 377,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,102.2,931419897.9,5.914139281,820614.6776,1,-248313.5366,H.somni
Dairy 378,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,101.5,21146367.32,2.861196249,726.4341437,1,571574.7068,H.somni
Dairy 379,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,102.2,528541017.8,3.02659771,1063.157751,1,571237.9832,H.somni
Dairy 381,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,102.2,112475678.7,3.097239654,1250.949143,1,571050.1918,H.somni
Dairy 382,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,105,204192260.5,3.902608423,7991.134189,1,564310.0068,H.somni
Dairy 383,Healthy,CA,Gold Star Cattle,calf,07/14-15/2022,102.1,1651673367,3.002729541,1006.304792,1,343314.4459,H.somni
Dairy 384,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,102.2,251584805.5,3.401793662,2522.282123,1,569778.8588,H.somni
Dairy 385,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,102.4,294729674.9,4.281058115,19101.08842,1,553200.0525,H.somni
Dairy 386,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,104.3,404678856.5,3.083672454,1212.474053,1,571088.6669,H.somni
Dairy 387,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,102.1,204853367.8,2.986183226,968.6864527,1,571332.4545,H.somni
Dairy 388,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,101.3,1893218014,3.897846968,7904.000661,1,564397.1403,H.somni
Dairy 389,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,102.2,744694728.5,3.508375129,3223.852246,1,569077.2887,H.somni
Dairy 390,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,101.7,1005690285,5.294964335,197226.0766,1,375075.0644,H.somni
Dairy 391,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,102.5,3461882532,2.998324158,996.1486658,1,571304.9923,H.somni
Dairy 392,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,102,9377508174,2.278753601,190,0,572111.141,H.somni
Dairy 393,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,102.3,699838680.9,5.635982236,432496.14,1,139805.001,H.somni
Dairy 394,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,102.1,297047243.3,3.549723529,3545.875874,1,568755.2651,H.somni
Dairy 395,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,101.7,306532323.4,3.550400851,3551.41031,1,568749.7307,H.somni
Dairy 396,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,102.2,104603108.6,3.11505446,1303.330204,1,570997.8108,H.somni
Dairy 398,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,103,383055528.3,3.206747463,1609.709337,1,570691.4316,H.somni
Dairy 399,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,101.7,2717352411,3.977531781,9495.804847,1,562805.3361,H.somni
Dairy 401,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,102.2,58716309.65,3.105921897,1276.209277,1,571024.9317,H.somni
Dairy 402,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,101.9,229992605.7,5.361108568,229672.273,1,342628.868,H.somni
Dairy 403,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,101.8,158692862.4,3.150879277,1415.400278,1,570885.7407,H.somni
Dairy 404,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,101.7,704933645.7,3.990185233,9776.54116,1,562524.5998,H.somni
Dairy 405,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,97.8,150633816.3,2.278753601,190,0,572111.141,H.somni
Dairy 406,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,102.1,1024778470,2.952068193,895.5053669,1,571405.6356,H.somni
Dairy 407,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,102.7,44017143.84,3.05491644,1134.792455,1,571166.3485,H.somni
Dairy 408,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,102.6,140199792.4,2.278753601,190,0,572111.141,H.somni
Dairy 409,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,101.9,278113743.7,2.906192643,805.7357685,1,571495.4052,H.somni
Dairy 410,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,101.5,448163026.3,2.278753601,190,0,572111.141,H.somni
Dairy 411,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,102.7,184346139.8,2.278753601,190,0,572111.141,H.somni
Dairy 412,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,101.9,147628028.5,5.110133917,128864.6852,1,443436.4558,H.somni
Dairy 413,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,102.4,1506162233,6.823546163,6661103.216,1,-6088802.075,H.somni
Dairy 414,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,103.8,88287227.16,3.242322373,1747.118544,1,570554.0224,H.somni
Dairy 415,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,102.6,794110027.7,4.629701973,42628.68862,1,529672.4523,H.somni
Dairy 416,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,100.6,387579539.2,5.414734173,259856.8522,1,312444.2888,H.somni
Dairy 417,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,101.6,629879924.7,2.278753601,190,0,572111.141,H.somni
Dairy 418,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,102.8,650785507.2,4.007691734,10178.68639,1,562122.4546,H.somni
Dairy 419,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,103.3,577101454.7,2.278753601,190,0,572111.141,H.somni
Dairy 420,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,102.6,82129171.71,2.278753601,190,0,572111.141,H.somni
Dairy 421,BRD,CA,Gold Star Cattle,calf,07/14-15/2022,102.9,1480234431,2.278753601,190,0,572111.141,H.somni
Dairy 101,Healthy,NY,Lambs,calf,05/18-19/2021,102.8,21645439.16,2.278753601,190,0,344130.7507,H.somni
