Name,Status,State,Farm,animal,Date of colleciton,RectaTemp,16S copies,Hscopy_log,HScopies,HSpre_abs,MBcopy_log,MBcopies,MBpre_abs,MHcopy_log,MHcopies,MHpre_abs,PMcopy_log,PMcopies,PMpre_abs,ID
Dairy 237,Healthy,TX,Farm1,calf,1/1/22,102.3,631822.95,6.285018592,1927607.432,1,2.826074803,670,0,2.230448921,170,0,3.934161956,8593.339232,1,Dairy237
Dairy 238,BRD,TX,Farm1,calf,1/1/22,102.3,3496147.11,5.745001561,555906.255,1,2.826074803,670,0,4.240395899,17393.85715,1,4.038810666,10934.79553,1,Dairy238
Dairy 239,Healthy,TX,Farm1,calf,1/1/22,101.5,5431254.09,4.58167879,38166.18842,1,2.826074803,670,0,4.880398617,75927.4155,1,2.278753601,190,0,Dairy239
Dairy 240,BRD,TX,Farm1,calf,1/1/22,102.1,29984283.47,6.572769229,3739118.502,1,4.650162221,44685.04719,1,3.835570299,6848.103238,1,6.025091376,1059476.616,1,Dairy240
Dairy 241,BRD,TX,Farm1,calf,1/1/22,102.7,1132230.26,4.591710007,39058.00052,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy241
Dairy 242,Healthy,TX,Farm1,calf,1/1/22,102.8,6193278.97,6.655407747,4522803.787,1,2.826074803,670,0,4.104595949,12723.18814,1,2.278753601,190,0,Dairy242
Dairy 243,Healthy,TX,Farm1,calf,1/1/22,102.3,916095.54,4.451285646,28267.38575,1,2.826074803,670,0,2.230448921,170,0,3.510770792,3241.684855,1,Dairy243
Dairy 244,BRD,TX,Farm1,calf,1/1/22,101.7,35556617.53,6.042074421,1101728.086,1,2.826074803,670,0,5.339299878,218423.7595,1,2.278753601,190,0,Dairy244
Dairy 245,Healthy,TX,Farm1,calf,1/1/22,103.3,12594452.96,6.920434875,8325970.63,1,4.515209602,32749.87161,1,4.72224663,52752.93534,1,3.900918199,7960.094058,1,Dairy245
Dairy 246,Healthy,TX,Farm1,calf,1/1/22,101.8,1254517.03,6.056457371,1138825.992,1,3.496987228,3140.416336,1,2.230448921,170,0,2.278753601,190,0,Dairy246
Dairy 247,BRD,TX,Farm1,calf,1/1/22,101.7,7000749.58,5.876922662,753221.4194,1,3.704097045,5059.377035,1,4.531790972,34024.4389,1,4.847265203,70350.17835,1,Dairy247
Dairy 248,BRD,TX,Farm1,calf,1/1/22,101.8,20020994.03,5.954574272,900687.7835,1,2.826074803,670,0,3.133053338,1358.480278,1,2.278753601,190,0,Dairy248
Dairy 249,Healthy,TX,Farm1,calf,1/1/22,101.6,2361256.45,4.015910519,10373.14669,1,2.826074803,670,0,3.906869102,8069.917639,1,5.419530718,262742.7358,1,Dairy249
Dairy 250,BRD,TX,Farm1,calf,1/1/22,101.9,11561521.59,6.211721012,1628249.718,1,2.826074803,670,0,2.230448921,170,0,5.91743088,826857.9,1,Dairy250
Dairy 251,BRD,TX,Farm1,calf,1/1/22,101.4,858451.19,5.957015123,905764.1405,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy251
Dairy 252,Healthy,TX,Farm1,calf,1/1/22,101.9,51368531.41,5.8128821,649953.221,1,2.826074803,670,0,4.080208053,12028.4053,1,5.716510753,520607.8991,1,Dairy252
Dairy 253,Healthy,TX,Farm1,calf,1/1/22,102.2,3557451.29,4.054578286,11339.09219,1,2.826074803,670,0,4.907330794,80785.01207,1,4.957921091,90765.55989,1,Dairy253
Dairy 254,BRD,TX,Farm1,calf,1/1/22,102.6,1263484.41,3.904767314,8030.957248,1,3.366424637,2325.008992,1,2.230448921,170,0,2.278753601,190,0,Dairy254
Dairy 255,Healthy,TX,Farm1,calf,1/1/22,101.7,36041376.31,4.629047279,42564.47481,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy255
Dairy 256,BRD,TX,Farm1,calf,1/1/22,102,2813741.5,5.114063375,130035.932,1,2.826074803,670,0,4.07751513,11954.05172,1,4.283558343,19211.37028,1,Dairy256
Dairy 257,BRD,TX,Farm1,calf,1/1/22,102.5,305768587.2,7.044319102,11074371.85,1,2.826074803,670,0,2.230448921,170,0,4.652128013,44887.76823,1,Dairy257
Dairy 258,Healthy,TX,Farm1,calf,1/1/22,103.1,2395705.91,6.558465475,3617974.277,1,2.826074803,670,0,4.527768403,33710.74908,1,5.256512655,180514.7338,1,Dairy258
Dairy 259,Healthy,TX,Farm1,calf,1/1/22,102.4,31606365.67,6.015897591,1037283.789,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy259
Dairy 260,BRD,TX,Farm1,calf,1/1/22,105,47980178.94,7.091105114,12334033.23,1,2.826074803,670,0,5.004634658,101072.8841,1,5.760833702,576545.6531,1,Dairy260
Dairy 285,Healthy,TX,Farm1,calf,1/1/22,102.2,3498858.04,3.381368661,2406.404665,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy285
Dairy 286,BRD,TX,Farm1,calf,1/1/22,102.3,27400127.77,3.68974209,4894.880462,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy286
Dairy 287,Healthy,TX,Farm1,calf,1/1/22,102.2,3688539.15,3.472508113,2968.302196,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy287
Dairy 288,BRD,TX,Farm1,calf,1/1/22,102.2,10055396.58,3.74779181,5594.893324,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy288
Dairy 289,Healthy,TX,Farm1,calf,1/1/22,102.2,17707878.4,2.278753601,190,0,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy289
Dairy 290,BRD,TX,Farm1,calf,1/1/22,101.2,185214285.2,2.925910585,843.1611443,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy290
Dairy 291,Healthy,TX,Farm1,calf,1/1/22,102.9,41651198.16,6.448132318,2806288.507,1,2.826074803,670,0,2.230448921,170,0,5.880630327,759679.3601,1,Dairy291
Dairy 292,BRD,TX,Farm1,calf,1/1/22,101.8,4119073.23,3.658000175,4549.882431,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy292
Dairy 293,Healthy,TX,Farm1,calf,1/1/22,101.3,18210507.83,3.834340569,6828.739861,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy293
Dairy 294,BRD,TX,Farm1,calf,1/1/22,101.6,468804397.5,3.329782901,2136.893612,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy294
Dairy 295,BRD,TX,Farm1,calf,1/1/22,102,19902943.76,4.107896338,12820.2454,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy295
Dairy 296,BRD,TX,Farm1,calf,1/1/22,102.5,14872736.14,3.055598508,1136.576071,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy296
Dairy 298,Healthy,TX,Farm1,calf,1/1/22,102.2,4323472.87,3.215820831,1643.693473,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy298
Dairy 299,Healthy,TX,Farm1,calf,1/1/22,102.8,25512726.49,3.017166851,1040.319769,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy299
