Name,Status,State,Farm,animal,Date.of.colleciton,RectaTemp,X16S.copies,Hscopy_log,HScopies,HSpre_abs,MBcopy_log,MBcopies,MBpre_abs,MHcopy_log,MHcopies,MHpre_abs,PMcopy_log,PMcopies,PMpre_abs,ID,HSRel,PMRel,MBRel,MHRel,BactABund,HSRelBact,PMRelBact,MBRelBact,MHRelBact,X16S_log
Dairy 223,Healthy,TX,Farm1,calf,1/1/22,101.7,4220078.83,4.106634148,12783.04,1,2.826074803,670,0,4.832487851,67996.70239,1,3.767393588,5853.203025,1,Dairy223,0.0030291,0.001386989,0.000158765,0.016112662,87302.94542,0.146421635,0.067044737,0.007674426,0.778859202,6.625320666
Dairy 224,BRD,TX,Farm1,calf,1/1/22,101.7,6431811.53,4.160220534,14461.73948,1,2.826074803,670,0,5.448843634,281088.8599,1,2.278753601,190,0,Dairy224,0.002248471,2.95E-05,0.00010417,0.043702907,296410.5994,0.048789549,0.000641003,0.002260378,0.94830907,6.808333377
Dairy 225,BRD,TX,Farm1,calf,1/1/22,97.8,23011875.03,5.249947593,177806.4836,1,2.826074803,670,0,5.224385065,167642.8616,1,2.278753601,190,0,Dairy225,0.007726727,8.26E-06,2.91E-05,0.007285059,346309.3452,0.513432531,0.000548642,0.001934686,0.48408414,7.361952026
Dairy 226,Healthy,TX,Farm1,calf,1/1/22,101.2,1675346.35,3.568950537,3706.385067,1,2.826074803,670,0,4.885414278,76809.38323,1,2.278753601,190,0,Dairy226,0.00221231,0.000113409,0.000399917,0.045846868,81375.7683,0.045546545,0.002334847,0.008233409,0.943885199,6.224104863
Dairy 227,Healthy,TX,Farm1,calf,1/1/22,102.1,48143464.26,3.724572955,5303.626786,1,2.826074803,670,0,5.275018514,188372.9389,1,5.333489584,215520.9953,1,Dairy227,0.000110163,0.004476641,1.39E-05,0.003912742,409867.561,0.012939855,0.525830819,0.001634674,0.459594652,7.682537347
Dairy 228,BRD,TX,Farm1,calf,1/1/22,101.4,4256127.29,3.930718599,8525.475276,1,2.826074803,670,0,4.390776909,24591.04071,1,2.278753601,190,0,Dairy228,0.002003106,4.46E-05,0.00015742,0.005777797,33976.51599,0.250922587,0.005592098,0.019719503,0.723765813,6.62901471
Dairy 229,Healthy,TX,Farm1,calf,1/1/22,100.8,96764085036,3.589988609,3890.349411,1,2.826074803,670,0,5.648016544,444648.2059,1,2.278753601,190,0,Dairy229,4.02E-08,1.96E-09,6.92E-09,4.60E-06,449398.5553,0.008656791,0.000422787,0.001490882,0.98942954,10.98571419
Dairy 230,BRD,TX,Farm1,calf,1/1/22,100.9,83956390.23,3.984256523,9643.984932,1,3.517518679,3292.446139,1,5.015256959,103575.4811,1,6.05297798,1129738.632,1,Dairy230,0.000114869,0.013456255,3.92E-05,0.001233682,1246250.544,0.0077384,0.906510041,0.002641881,0.083109678,7.924053763
Dairy 231,Healthy,TX,Farm1,calf,1/1/22,102,60454198.56,5.721800138,526987.287,1,2.826074803,670,0,5.61848587,415418.535,1,2.278753601,190,0,Dairy231,0.008717133,3.14E-06,1.11E-05,0.006871624,943265.822,0.55868375,0.000201428,0.000710298,0.440404524,7.781426475
Dairy 232,BRD,TX,Farm1,calf,1/1/22,101,10538933.06,4.227698683,16892.68497,1,3.570611495,3720.587259,1,5.184117798,152798.0451,1,2.278753601,190,0,Dairy232,0.001602884,1.80E-05,0.000353033,0.014498436,173601.3173,0.097307355,0.001094462,0.021431792,0.880166392,7.022796687
Dairy 233,Healthy,TX,Farm1,calf,1/1/22,102,29599554.86,3.32321755,2104.832545,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy233,7.11E-05,6.42E-06,2.26E-05,5.74E-06,3134.832545,0.671433805,0.060609298,0.213727525,0.054229372,7.471285195
Dairy 234,BRD,TX,Farm1,calf,1/1/22,101.2,2085308.57,4.682233026,48109.74179,1,2.826074803,670,0,4.340239366,21889.67764,1,5.502117704,317773.5194,1,Dairy234,0.023070802,0.152386809,0.000321295,0.010497093,388442.9388,0.12385279,0.818070011,0.001724835,0.056352363,6.319170536
Dairy 235,Healthy,TX,Farm1,calf,1/1/22,102.4,7366158.84,3.980537441,9561.751243,1,2.826074803,670,0,4.445872727,27917.25584,1,2.278753601,190,0,Dairy235,0.001298065,2.58E-05,9.10E-05,0.003789934,38339.00708,0.249400075,0.004955788,0.017475674,0.728168462,6.867241138
Dairy 236,BRD,TX,Farm1,calf,1/1/22,102.4,5139234.32,4.102764193,12669.63762,1,2.826074803,670,0,3.43416975,2717.501235,1,3.987837088,9723.823966,1,Dairy236,0.002465277,0.001892076,0.00013037,0.000528776,25780.96282,0.491433842,0.377170707,0.025988168,0.105407283,6.710898504
Dairy 237,Healthy,TX,Farm1,calf,1/1/22,102.3,631822.95,6.285018592,1927607.432,1,2.826074803,670,0,2.230448921,170,0,3.934161956,8593.339232,1,Dairy237,3.050866437,0.013600866,0.001060424,0.000269063,1937040.771,0.995130025,0.004436323,0.000345888,8.78E-05,5.800596084
Dairy 238,BRD,TX,Farm1,calf,1/1/22,102.3,3496147.11,5.745001561,555906.255,1,2.826074803,670,0,4.240395899,17393.85715,1,4.038810666,10934.79553,1,Dairy238,0.159005396,0.00312767,0.00019164,0.00497515,584904.9077,0.950421595,0.018694997,0.001145485,0.029737923,6.543589823
