	shannon_entropy
Beef415	6.075009372022262
Beef416	6.983645527048875
Beef417	6.621021922778268
Beef418	6.847001493431049
Beef419	4.209059569569765
Beef42	5.200747444330313
Beef420	4.377002705645488
Beef421	4.377661431219866
Beef422	4.865933462118553
Beef423	4.418177371584484
Beef424	4.192239047308684
Beef425	5.559453405392569
Beef426	5.055072827610172
Beef427	5.049498307652945
Beef428	3.372482300877852
Beef430	3.537792274186156
Beef431	3.7702083305138205
Beef432	4.698492782221122
Beef435	7.485937257998444
Beef436	8.01387448646346
Beef437	7.79278706743007
Beef438	7.527736275513629
Beef439	5.925560821540251
Beef440	8.033848775433608
Beef441	8.02120253083992
Beef442	8.407530049762133
Beef443	3.6801319769143084
Beef444	8.178603211577476
Beef445	6.395850889280851
Beef446	8.10516237210967
Beef447	8.193388921854131
Beef448	7.767440183543572
Beef449	7.977445511138285
Beef45	4.975942900790849
Beef450	8.26672795810888
Beef451	8.20472293682539
Beef452	6.9579637345120275
Beef453	7.974924079147158
Beef454	7.951242174202706
Beef455	6.0742670270441
Beef456	6.560354753956691
Beef457	7.7448581056484125
Beef458	6.825757987444912
Beef459	7.853151151300064
Beef460	8.420845189175974
Beef461	6.445174989340307
Beef462	7.626173453791838
Beef463	7.851594226284362
Beef464	5.461380392040882
Beef465	6.439243773440603
Beef466	6.1904000198086555
Beef467	7.28532462138044
Beef468	6.127712674528023
Beef469	8.04656191942801
Beef47	3.563062504589172
Beef470	8.445542398003584
Beef471	7.210859950202862
Beef472	6.029847112888794
Beef473	8.259889035532856
Beef474	4.884214332604633
Beef475	7.2128645153116855
Beef476	8.235314685200741
Beef477	8.151059813148098
Beef478	7.710837358201724
Beef479	7.775244042555076
Beef48	3.7323748104559153
Beef480	5.666489704129668
Beef481	6.007989593068571
Beef482	8.20762840872015
Beef483	6.769522635284479
Beef484	7.116184054762123
Beef485	8.222515933254032
Beef486	6.354590396565321
Beef487	6.201832658704298
Beef488	6.120357216120644
Beef489	6.149794738554622
Beef49	4.139447786394905
Beef490	7.119568833763304
Beef491	8.1727749071455
Beef492	7.909424598330954
Beef493	6.142595220874225
Beef494	5.472938717561907
Beef495	7.780006903342537
Beef496	5.269713888523771
Beef497	4.181775670425955
Beef498	7.187978948913611
Beef499	4.968087696185499
Beef5	3.9672521783656145
Beef50	3.4874210793923615
Beef501	7.043247579576618
Beef502	7.224561565492699
Beef503	7.976969463177246
Beef506	7.9741343871468295
Beef507	4.649518631990546
Beef508	5.5799337828374656
Beef51	3.958402068730168
Beef510	5.0475472084109585
Beef511	5.552603010881921
Beef513	6.071756958677799
Beef514	5.522623094100286
Beef515	4.7914098684872695
Beef516	6.3039766302603475
Beef517	3.82546583626291
Beef518	2.422110701572151
Beef519	6.827435423100622
Beef52	4.0285712194138865
Beef520	6.512156867527791
Beef521	7.264020113886602
Beef522	4.337469640015693
Beef523	5.849740369047517
Beef524	8.030973738607802
Beef525	7.042271706503377
Beef526	7.598275634044696
Beef527	6.078390103485289
Beef528	4.179187289777763
Beef529	6.812688060270978
Beef53	3.972389609469924
Beef530	6.862719010739129
Beef531	7.180927272345054
Beef532	6.105668939799731
Beef533	9.044552326778595
Beef534	5.175292092904579
Beef535	6.642714507547348
Beef536	4.796279156477638
Beef537	7.299686934432103
Beef538	7.149267889534721
Beef539	4.29276710985522
Beef540	7.18633354513693
Beef541	4.713947389222009
Beef542	5.912954684745182
Beef543	4.543169667099008
Beef544	6.335225049574673
Beef545	6.482941598921329
Beef546	5.231590071595054
Beef547	5.387512238187211
Beef548	6.0462741070057255
Beef549	7.455242135274076
Beef550	6.81258379296639
Beef551	3.624124854191849
Beef552	7.57323749081813
Beef553	4.3714840540135125
Beef554	6.073914378606081
Beef555	6.824085676058833
Beef557	5.387552227467656
Beef558	6.360132172398596
Beef559	8.199022812544767
Beef56	4.4596279970136035
Beef560	5.736530740545122
Beef561	5.325934945449707
Beef562	7.208257260158061
Beef563	3.372567703674299
Beef564	5.635880092520163
Beef565	3.6479159721361363
Beef566	4.749607502473586
Beef567	6.612707648242135
Beef57	3.722429859663383
Beef58	2.5023286270623237
Beef59	3.917091823973862
Beef6	4.8641906927148035
Beef60	2.1152544134678175
Beef61	4.831482710892473
Beef63	4.6791396099350715
Beef64	4.8301514399203
Beef65	4.747544406759364
Beef66	4.479272806075687
Beef67	4.365739219638375
Beef68	4.179794003178901
Beef69	3.7863472567120615
Beef7	4.477478459951506
Beef70	4.335632159767631
Beef71	3.494420598912162
Beef78	3.3179575503713656
Beef79	3.2880051358423783
Beef8	3.4911506393800704
Beef80	4.573139021414639
Beef81	2.999063613811494
Beef82	4.662720719296541
Beef83	4.026957921521399
Beef84	3.166913687891602
Beef86	3.221687409178238
Beef87	3.346855185463236
Beef88	4.1470922884955685
Beef89	3.758392893954195
Beef9	4.00014941212609
Beef90	3.6928923673360963
Beef91	2.9135741473332635
Beef92	3.2665854673729373
Beef93	3.8891154246188333
Beef94	4.295485323056541
Beef95	3.5346700067969175
Beef96	3.696774357237394
Beef97	4.179141045556036
Beef98	3.430240018984904
Beef99	4.325780572949024
