#SampleID	faith_pd
Beef1	9.345495257175752
Beef10	14.85872091379435
Beef100	10.51888004591711
Beef101	11.49794543156226
Beef102	7.613049559155609
Beef103	11.69375792134895
Beef104	10.15016391560307
Beef105	11.43427438002186
Beef106	10.96721795938428
Beef107	17.21698043398218
Beef108	12.1091252590663
Beef109	14.73087985680217
Beef11	12.85897209089432
Beef110	10.54241134057578
Beef111	14.28678668650181
Beef112	12.883215829324
Beef114	11.27157644824333
Beef115	11.12459454307982
Beef116	14.83335241430059
Beef117	16.04704464590436
Beef118	21.71796810870325
Beef119	14.88305910684518
Beef12	32.11844076961339
Beef120	8.125230015643888
Beef121	12.90435130955839
Beef122	10.94325158665213
Beef123	10.88487951486479
Beef124	10.79389522417087
Beef125	19.53690478268263
Beef126	11.77074456276259
Beef128	10.35256800659126
Beef129	13.86519782026993
Beef130	15.01221753998554
Beef131	13.16557328103343
Beef132	16.63855820610158
Beef133	14.1014928393665
Beef134	12.57724476689532
Beef135	16.74477013602276
Beef136	10.61749275833981
Beef137	10.7725443337915
Beef138	14.72454062367559
Beef139	18.32624054678423
Beef14	6.156622808483103
Beef140	17.14454184571602
Beef141	13.77357274171145
Beef142	12.47159761397824
Beef144	17.21007901367189
Beef145	9.735941688438096
Beef146	17.03287701609171
Beef147	11.02696712755398
Beef148	19.77275708219734
Beef149	17.02909479430095
Beef150	15.83018359967839
Beef151	14.71750878150086
Beef152	21.10781534602227
Beef153	9.122315764200295
Beef154	9.789441361162325
Beef155	17.36043025677037
Beef156	10.55063403613813
Beef159	7.171719215267348
Beef160	12.36379514641284
Beef161	11.07387981482088
Beef163	12.57859138698622
Beef164	15.78844431957977
Beef165	10.28369833308836
Beef166	13.55996946877404
Beef167	13.11330713072024
Beef168	14.18813122829
Beef169	14.01271732003195
Beef172	10.98398332658224
Beef174	12.42312528007673
Beef178	13.5147203143979
Beef179	13.67377860124972
Beef180	12.12959477821562
Beef181	12.30465603896971
Beef183	13.27605558548937
Beef185	13.3752752307933
Beef186	10.83356929130135
Beef188	9.823851467311247
Beef194	28.40596060493684
Beef195	21.51028804567353
Beef197	15.85299469305447
Beef198	37.29123374760774
Beef199	24.87428769520372
Beef2	27.03312393587112
Beef200	23.48173413544218
Beef210	27.05282537865193
Beef211	37.47010065626536
Beef215	20.90278591443008
Beef216	18.66798931340926
Beef217	38.59028338220764
Beef218	15.07358439348405
Beef220	36.48298611245168
Beef222	44.31835386777676
Beef224	27.75995561822294
Beef225	27.03605329925018
Beef226	21.71768801579264
Beef227	23.08139986389958
Beef228	14.99924099511461
Beef229	33.095012326213
Beef230	29.0519624375168
Beef232	34.24350331283239
Beef233	18.24105398534192
Beef24	13.99600690251591
Beef240	41.01017469828005
Beef241	54.1770341425117
Beef242	27.4581845947797
Beef243	37.60838382800059
Beef244	38.70044795195369
Beef245	6.997248492672682
Beef246	40.4287953903912
Beef247	43.36433067387937
Beef248	45.74670221135089
Beef249	10.51927014292286
Beef25	11.33635879278235
Beef250	13.41932383637198
Beef251	35.83918375258592
Beef252	21.87804414174008
Beef253	20.80127419568515
Beef255	22.31920842591751
Beef256	23.0695800359054
Beef257	12.79562967563528
Beef258	22.83848916269184
Beef259	27.32434393847187
Beef26	23.82592887157019
Beef260	27.92726752421196
Beef261	17.14399874551202
Beef262	18.32807358565547
Beef263	32.64549508051564
Beef266	11.93962645978139
Beef267	34.54791585407251
Beef268	17.88915281160314
Beef269	16.46477491075006
Beef27	12.00362423418633
Beef270	20.56991837246839
Beef271	17.89041233661157
Beef272	8.02628875421437
Beef273	18.64838259383762
Beef274	15.46691671341635
Beef275	16.64875900683267
Beef276	9.168068688553682
Beef277	15.39136257965331
Beef278	21.4159215375402
Beef279	28.6761660147499
Beef28	9.956461190969279
Beef280	16.16801130524179
Beef281	22.02750109431346
Beef282	23.67611915531421
Beef283	16.53411346416982
Beef284	7.998921705718136
Beef285	16.61257008424753
Beef286	11.32290611911596
Beef287	19.5960993683505
Beef288	17.00673872133214
Beef289	29.7350789623831
Beef29	19.80509711711343
Beef290	12.52767083666395
Beef291	14.43557981466179
Beef292	26.36077651734289
Beef293	25.55341327702227
Beef296	11.07868607026597
Beef297	29.11250784693242
Beef299	16.98057665583759
Beef3	12.56553733648306
Beef30	11.50082350766992
Beef300	21.60261094780258
Beef301	25.1085209440194
Beef303	36.9593464185471
Beef305	19.7789668782792
Beef306	10.34020692803256
Beef307	18.0482544026414
Beef308	18.87687297609623
Beef309	13.72766168229335
Beef31	9.454873328292113
Beef312	15.12766881204002
Beef313	15.85802816226678
Beef315	14.62182831366632
Beef316	11.58861698518409
Beef317	13.25417785840782
Beef318	13.29103535920666
Beef319	23.70116175310143
Beef32	11.89546446214333
Beef320	30.8631730921169
Beef321	17.53106524482639
Beef322	9.654445014742318
Beef323	15.49575212388995
Beef325	18.23168260081504
Beef326	14.72486290688558
Beef327	15.4876134061767
Beef328	12.93388568190257
Beef329	11.86907211390688
Beef33	14.05808449682602
Beef330	15.77746002768824
Beef331	14.46774734492569
Beef332	14.65908501589574
Beef333	11.65660822139637
Beef334	10.70136316696767
Beef335	47.95720590767694
Beef336	40.51439252328614
Beef337	32.05973977912419
Beef338	42.92332288342197
Beef339	23.62750539122577
Beef34	11.89975112452038
Beef340	40.13629207822175
Beef341	29.75973874841871
Beef342	18.83036554196454
Beef344	18.17620190984896
Beef345	17.62667677909268
Beef347	17.61420096634652
Beef348	21.46041256713219
Beef349	25.51527771969673
Beef35	14.17389353023759
Beef350	39.44202407695866
Beef351	33.55619544506895
Beef352	17.41409619641001
Beef353	19.99950409207494
Beef354	19.6287042866895
Beef355	21.82241455260009
Beef356	34.3639246887886
Beef357	21.72801249463177
Beef358	26.18168128992252
Beef359	19.31335603394058
Beef36	9.289717743104429
Beef360	24.43143840587124
Beef361	14.285780762331
Beef362	14.55238756704512
Beef364	35.0124583719543
Beef365	46.96558559054412
Beef366	27.09932133804676
Beef367	33.88658987440542
Beef368	32.22763486913125
Beef369	19.53345923327917
Beef37	15.64995595895365
Beef370	16.05352345522654
Beef371	36.8465784364012
Beef372	20.39093367008282
Beef373	14.85202850729949
Beef374	15.78723810849067
Beef377	19.01699564329498
Beef378	20.62725891916311
Beef379	14.83709624390957
Beef38	10.80443795892902
Beef380	13.66659694885968
Beef381	13.13184500202696
Beef382	13.23573367920257
Beef384	17.72638701271464
Beef385	27.26974099326126
Beef386	28.96294664743053
Beef387	8.114416632683984
Beef388	23.8724367017099
Beef389	23.4216228112269
Beef390	34.71939620503534
Beef391	11.09898413043926
Beef394	13.47971176903526
Beef395	13.32325385935491
Beef396	19.29011819423078
Beef397	11.23927220673463
Beef398	23.00003108464335
Beef399	26.55168394717532
Beef40	25.78526999499045
Beef400	19.60417324912583
Beef401	19.97884841035939
Beef402	17.276285931379
Beef403	24.25028593471109
Beef404	23.49554039426227
Beef405	23.71363306414643
Beef406	45.07342006535088
Beef407	21.56020545816184
Beef408	17.54390195015441
Beef409	22.39588517539146
Beef410	30.49043157549754
Beef411	35.77197422151115
Beef412	28.40478215045149
Beef413	26.19893208192623
Beef414	19.78853363498312
Beef415	34.40354137302088
Beef416	34.34733611965135
Beef417	36.29368467812518
Beef418	32.17995742178763
Beef419	24.22004727971528
Beef42	20.69183092760013
Beef420	24.35516265583607
Beef421	23.80390641115922
Beef422	30.0062874588474
Beef423	19.91873059693176
Beef424	22.97746629941423
Beef425	25.62623279425049
Beef426	26.10113990098803
Beef427	29.29524922542048
Beef428	28.66144695993881
Beef430	20.41257023566541
Beef431	18.59297136330009
Beef432	24.5363096446199
Beef435	46.09911899209012
Beef436	54.762797736617
Beef437	51.21638048562212
Beef438	48.78816343309087
Beef439	40.15113876807768
Beef440	48.39999488379475
Beef441	52.32718097647592
Beef442	55.8173811365721
Beef443	21.02299623996121
Beef444	53.05445046123672
