Phylum,Status,Abundance.average,overall.max
Actinobacteriota,Healthy,0.082771648,0.082771648
Actinobacteriota,BRD,0.076358574,0.076358574
Bacteroidota,Healthy,0.061691567,0.061691567
Bacteroidota,BRD,0.071111102,0.071111102
Firmicutes,Healthy,0.213812062,0.213812062
Firmicutes,BRD,0.213062779,0.213062779
Proteobacteria,Healthy,0.628851231,0.628851231
Proteobacteria,BRD,0.622341328,0.622341328
