"","Family","Status","Abundance.average","overall.max"
"121"," Defluviitaleaceae","Healthy",1.84407856246687e-05,1.84407856246687e-05
"122"," Deinococcaceae","Healthy",0.00301652558304811,0.00301652558304811
"123"," Demequinaceae","Healthy",0.000181823676893252,0.000181823676893252
"124"," Dermabacteraceae","Healthy",0.0010064515114428,0.0010064515114428
"125"," Dermacoccaceae","Healthy",1.31474961325321e-05,1.31474961325321e-05
"126"," Dermatophilaceae","Healthy",2.78935123122547e-05,2.78935123122547e-05
"127"," Desulfitobacteriaceae","Healthy",3.17886863924807e-06,3.17886863924807e-06
"128"," Desulfitobacteriales","Healthy",3.3294853361475e-07,3.3294853361475e-07
"129"," Desulfobulbaceae","Healthy",1.9400230238992e-06,1.9400230238992e-06
"130"," Desulfocapsaceae","Healthy",1.519923377669e-06,1.519923377669e-06
"131"," Desulfomicrobiaceae","Healthy",1.5870488350797e-06,1.5870488350797e-06
"132"," Desulfomonilaceae","Healthy",0,0
"133"," Desulfotomaculales","Healthy",4.40256966577322e-06,4.40256966577322e-06
"134"," Desulfovibrionaceae","Healthy",7.45962084124286e-05,7.45962084124286e-05
"135"," Devosiaceae","Healthy",0.000345158081261199,0.000345158081261199
"136"," Dietziaceae","Healthy",0.00145344959936541,0.00145344959936541
"137"," Diplorickettsiaceae","Healthy",0,0
"138"," Dongiaceae","Healthy",1.58179150089868e-06,1.58179150089868e-06
"139"," Dysgonomonadaceae","Healthy",0.000382462985884048,0.000382462985884048
"140"," Ectothiorhodospiraceae","Healthy",1.85186402614313e-07,1.85186402614313e-07
"141"," Eggerthellaceae","Healthy",9.33521410408864e-05,9.33521410408864e-05
"142"," Elusimicrobiaceae","Healthy",4.69331164400428e-05,4.69331164400428e-05
"143"," Enterobacterales","Healthy",5.02889268175812e-05,5.02889268175812e-05
"144"," Enterobacteriaceae","Healthy",0.0246610331222161,0.0246610331222161
"145"," Enterococcaceae","Healthy",0.00228760758997827,0.00228760758997827
"146"," env.OPS_17","Healthy",1.10307950023107e-05,1.10307950023107e-05
"147"," EPR3968-O8a-Bc78","Healthy",0,0
"148"," Erwiniaceae","Healthy",0.0016677295111487,0.0016677295111487
"149"," Erysipelatoclostridiaceae","Healthy",0.000130052029412785,0.000130052029412785
"150"," Erysipelotrichaceae","Healthy",0.000532081643114504,0.000532081643114504
"151"," Eubacteriaceae","Healthy",0.000231914025451525,0.000231914025451525
"152"," Eubacteriales","Healthy",1.87122851563601e-05,1.87122851563601e-05
"153"," Euzebyaceae","Healthy",1.71623143037592e-06,1.71623143037592e-06
"154"," Exiguobacteraceae","Healthy",0.000483612075780102,0.000483612075780102
"155"," F082","Healthy",1.31606266262852e-06,1.31606266262852e-06
"156"," Ferrovibrionaceae","Healthy",1.69918445518093e-06,1.69918445518093e-06
"157"," Fibrobacteraceae","Healthy",2.55664468497744e-05,2.55664468497744e-05
"158"," Fimbriimonadaceae","Healthy",1.64932925585309e-06,1.64932925585309e-06
"159"," Firmicutes","Healthy",6.37263032353668e-05,6.37263032353668e-05
"160"," Flavobacteriaceae","Healthy",0.00651763103146965,0.00651763103146965
"161"," Fodinicurvataceae","Healthy",3.85600530673414e-06,3.85600530673414e-06
"162"," Frankiales","Healthy",1.11219178384586e-06,1.11219178384586e-06
"163"," Fusibacteraceae","Healthy",1.09813806282785e-06,1.09813806282785e-06
"164"," Fusobacteriaceae","Healthy",0.000247649307817822,0.000247649307817822
"165"," Gaiellaceae","Healthy",0,0
"166"," Gammaproteobacteria","Healthy",1.67130141344103e-05,1.67130141344103e-05
"167"," Garciellaceae","Healthy",2.05723618426592e-06,2.05723618426592e-06
"168"," Gastranaerophilales","Healthy",0.000318830468292782,0.000318830468292782
"169"," Gemellaceae","Healthy",1.00758304876478e-05,1.00758304876478e-05
"170"," Geminicoccaceae","Healthy",7.34291755408885e-07,7.34291755408885e-07
"171"," Gemmataceae","Healthy",5.96723947586753e-05,5.96723947586753e-05
"172"," Gemmatimonadaceae","Healthy",1.45084266485999e-06,1.45084266485999e-06
"173"," Geodermatophilaceae","Healthy",5.27371601994597e-05,5.27371601994597e-05
"174"," Gitt-GS-136","Healthy",1.195808727108e-06,1.195808727108e-06
"175"," Glycomycetaceae","Healthy",6.320355077283e-06,6.320355077283e-06
"176"," Gracilibacteria","Healthy",0.000119352055566917,0.000119352055566917
"177"," Hafniaceae","Healthy",0,0
"178"," Hahellaceae","Healthy",4.49660195249375e-06,4.49660195249375e-06
"179"," Halanaerobiaceae","Healthy",1.23169039020504e-05,1.23169039020504e-05
"180"," Halieaceae","Healthy",0,0
"181"," Halomonadaceae","Healthy",0.00459766744685676,0.00459766744685676
"182"," HAW-RM37-2","Healthy",1.98210260453237e-06,1.98210260453237e-06
"183"," Helicobacteraceae","Healthy",7.78690772543153e-05,7.78690772543153e-05
"184"," Herpetosiphonaceae","Healthy",0,0
"185"," Holophagaceae","Healthy",3.31003236053137e-07,3.31003236053137e-07
"186"," Holosporaceae","Healthy",1.02669419956176e-06,1.02669419956176e-06
"187"," Hungateiclostridiaceae","Healthy",0.0001496100690413,0.0001496100690413
"188"," Hymenobacteraceae","Healthy",0.000337442953234628,0.000337442953234628
"189"," Hyphomicrobiaceae","Healthy",1.02638700563441e-06,1.02638700563441e-06
"190"," Hyphomonadaceae","Healthy",2.80377218884748e-06,2.80377218884748e-06
"191"," Iamiaceae","Healthy",5.15972191273739e-05,5.15972191273739e-05
"192"," Idiomarinaceae","Healthy",0.00213397357771293,0.00213397357771293
"193"," Ilumatobacteraceae","Healthy",5.90161981837297e-06,5.90161981837297e-06
"194"," IMCC26256","Healthy",4.64901991686623e-07,4.64901991686623e-07
"195"," Intrasporangiaceae","Healthy",0.000714209030501574,0.000714209030501574
"196"," Isosphaeraceae","Healthy",3.87662708649658e-05,3.87662708649658e-05
"197"," Izemoplasmatales","Healthy",3.80161788326618e-06,3.80161788326618e-06
"198"," JG30-KF-CM45","Healthy",0.000536936418232373,0.000536936418232373
"199"," JG30-KF-CM66","Healthy",1.39910690342665e-06,1.39910690342665e-06
"200"," JGI_0000069-P22","Healthy",2.88190155335668e-05,2.88190155335668e-05
"201"," Jonesiaceae","Healthy",2.02774001480572e-05,2.02774001480572e-05
"202"," Kaistiaceae","Healthy",2.03870980782444e-06,2.03870980782444e-06
"203"," Kapabacteriales","Healthy",1.07958871988127e-06,1.07958871988127e-06
"204"," KD4-96","Healthy",7.53787688913328e-07,7.53787688913328e-07
"205"," KI89A_clade","Healthy",5.28348820117832e-07,5.28348820117832e-07
"206"," Kineosporiaceae","Healthy",4.28632984689908e-05,4.28632984689908e-05
"207"," Lachnospiraceae","Healthy",0.0113850924823302,0.0113850924823302
"208"," Lactobacillaceae","Healthy",0.00785777184657029,0.00785777184657029
"209"," Lactobacillales","Healthy",1.2178118844445e-05,1.2178118844445e-05
"210"," Latescibacterota","Healthy",0,0
"211"," Legionellaceae","Healthy",4.68165915406953e-06,4.68165915406953e-06
"212"," Lentimicrobiaceae","Healthy",1.7313323747967e-06,1.7313323747967e-06
"213"," Leptotrichiaceae","Healthy",0.000806688040405783,0.000806688040405783
"214"," Leuconostocaceae","Healthy",0.000286144129201395,0.000286144129201395
"215"," Limnochordaceae","Healthy",3.52826092900874e-07,3.52826092900874e-07
"216"," Limnochordia","Healthy",1.15829832313195e-05,1.15829832313195e-05
"217"," Listeriaceae","Healthy",2.50714195655065e-05,2.50714195655065e-05
"218"," LiUU-11-161","Healthy",0,0
"219"," Longimicrobiaceae","Healthy",2.02214524419899e-05,2.02214524419899e-05
"220"," M2PB4-65_termite_group","Healthy",9.7876873073085e-06,9.7876873073085e-06
