ID,cattle,State,Farm,Date_of_colleciton,Status,RectTemp,animal
Dairy417,Dairy 417,CA,Gold Star Cattle,07/14-15/2022,BRD,101.6,calf
Dairy418,Dairy 418,CA,Gold Star Cattle,07/14-15/2022,BRD,102.8,calf
Dairy419,Dairy 419,CA,Gold Star Cattle,07/14-15/2022,BRD,103.3,calf
Dairy42,Dairy 42,IN,Warren,2/27/21,Healthy,101.8,calf
Dairy420,Dairy 420,CA,Gold Star Cattle,07/14-15/2022,BRD,102.6,calf
Dairy421,Dairy 421,CA,Gold Star Cattle,07/14-15/2022,BRD,102.9,calf
Dairy43,Dairy 43,IN,Warren,2/27/21,Healthy,,calf
Dairy44,Dairy 44,IN,Warren,2/27/21,Healthy,,calf
Dairy45,Dairy 45,IN,Warren,2/27/21,Healthy,,calf
Dairy46,Dairy 46,IN,Warren,2/27/21,Healthy,,calf
Dairy47,Dairy 47,IN,Warren,2/27/21,BRD,104.5,calf
Dairy48,Dairy 48,IN,Warren,2/27/21,Healthy,,calf
Dairy49,Dairy 49,IN,Warren,2/27/21,BRD,103.4,calf
Dairy5,Dairy 5,IN,Warren,2/20/21,Healthy,101.6,Cow
Dairy50,Dairy 50,IN,Warren,2/27/21,BRD,102.1,calf
Dairy51,Dairy 51,IN,Warren,2/27/21,BRD,103.4,calf
Dairy52,Dairy 52,IN,Warren,2/27/21,Healthy,103.2,calf
Dairy53,Dairy 53,IN,Warren,2/27/21,BRD,102.7,calf
Dairy54,Dairy 54,IN,Warren,2/27/21,Healthy,102.6,calf
Dairy55,Dairy 55,IN,Warren,2/27/21,Healthy,102.8,calf
Dairy56,Dairy 56,IN,Warren,2/27/21,Healthy,102.7,calf
Dairy57,Dairy 57,IN,Warren,2/27/21,BRD,102.6,calf
Dairy58,Dairy 58,IN,Warren,2/27/21,BRD,102.3,calf
Dairy59,Dairy 59,IN,Warren,2/27/21,Healthy,102.4,calf
Dairy6,Dairy 6,IN,Warren,2/20/21,BRD,103.2,Cow
Dairy60,Dairy 60,IN,Warren,2/27/21,BRD,102.3,calf
Dairy61,Dairy 61,IN,Warren,2/27/21,Healthy,102.6,calf
Dairy62,Dairy 62,IN,Warren,2/27/21,BRD,102.5,calf
Dairy63,Dairy 63,IN,Warren,2/27/21,Healthy,103.5,calf
Dairy65,Dairy 65,IN,Warren,2/27/21,BRD,102.1,calf
Dairy66,Dairy 66,IN,Warren,2/27/21,Healthy,102.2,calf
Dairy67,Dairy 67,IN,Warren,2/27/21,Healthy,102.5,calf
Dairy68,Dairy 68,IN,Warren,2/27/21,BRD,102.3,calf
Dairy69,Dairy 69,IN,Warren,2/27/21,Healthy,102.3,calf
Dairy7,Dairy 7,IN,Warren,2/20/21,Healthy,,calf
Dairy70,Dairy 70,IN,Warren,2/27/21,Healthy,102.8,calf
Dairy71,Dairy 71,IN,Warren,2/27/21,Healthy,102.3,calf
Dairy72,Dairy 72,IN,Warren,2/27/21,BRD,103.7,calf
Dairy73,Dairy 73,IN,Warren,2/27/21,Healthy,101.9,calf
Dairy74,Dairy 74,IN,Warren,2/27/21,Healthy,102.8,calf
Dairy75,Dairy 75,IN,Warren,2/27/21,Healthy,102,calf
Dairy77,Dairy 77,IN,Warren,2/27/21,Healthy,101.9,calf
Dairy78,Dairy 78,IN,Warren,2/27/21,BRD,101.9,calf
Dairy79,Dairy 79,IN,Warren,2/27/21,BRD,102.6,calf
Dairy8,Dairy 8,IN,Warren,2/20/21,BRD,104.3,calf
Dairy80,Dairy 80,IN,Warren,2/27/21,BRD,102.1,calf
Dairy81,Dairy 81,IN,Warren,2/27/21,Healthy,101,calf
Dairy82,Dairy 82,IN,Warren,2/27/21,Healthy,101.4,calf
Dairy83,Dairy 83,IN,Warren,2/27/21,Healthy,,calf
Dairy84,Dairy 84,IN,Warren,2/27/21,Healthy,100.9,calf
Dairy85,Dairy 85,IN,Warren,2/27/21,Healthy,,calf
Dairy86,Dairy 86,IN,Warren,2/27/21,Healthy,101.6,calf
Dairy87,Dairy 87,IN,Warren,2/27/21,BRD,101,calf
Dairy88,Dairy 88,IN,Warren,2/27/21,Healthy,,calf
Dairy89,Dairy 89,IN,Warren,2/27/21,BRD,103,calf
Dairy9,Dairy 9,IN,Warren,2/20/21,Healthy,,calf
Dairy90,Dairy 90,IN,Warren,2/27/21,BRD,102.3,calf
Dairy91,Dairy 91,IN,Warren,2/27/21,BRD,102.2,calf
Dairy92,Dairy 92,IN,Warren,2/27/21,Healthy,,calf
Dairy93,Dairy 93,IN,Warren,2/27/21,Healthy,,calf
Dairy94,Dairy 94,IN,Warren,2/27/21,Healthy,,calf
Dairy95,Dairy 95,IN,Warren,2/27/21,Healthy,,calf
Dairy96,Dairy 96,IN,Warren,2/27/21,Healthy,,calf
Dairy97,Dairy 97,IN,Warren,2/27/21,Healthy,,calf
Dairy98,Dairy 98,IN,Warren,2/27/21,BRD,103.6,calf
Dairy99,Dairy 99,IN,Warren,2/27/21,BRD,102.8,calf
