"","State","Genus","Status","taxa.average","overall.max"
"100","CA"," Amycolatopsis","Healthy",0,0
"101","CA"," Anaerobiospirillum","Healthy",0,0
"102","CA"," Anaerocella","Healthy",0,0
"103","CA"," Anaerococcus","Healthy",2.49165371617399e-05,2.49165371617399e-05
"104","CA"," Anaerocolumna","Healthy",0,0
"105","CA"," Anaerofilum","Healthy",0,0
"106","CA"," Anaeromusa-Anaeroarcus","Healthy",0,0
"107","CA"," Anaeroplasma","Healthy",0,0
"108","CA"," Anaerosalibacter","Healthy",0,0
"109","CA"," Anaerosporobacter","Healthy",0,0
"110","CA"," Anaerostignum","Healthy",0,0
"111","CA"," Anaerostipes","Healthy",0,0
"112","CA"," Anaerovibrio","Healthy",4.47741517375419e-05,4.47741517375419e-05
"113","CA"," Anaerovoracaceae","Healthy",0,0
"114","CA"," Anaerovorax","Healthy",0,0
"115","CA"," Angelakisella","Healthy",0,0
"116","CA"," Antarcticibacterium","Healthy",0,0
"117","CA"," Antricoccus","Healthy",2.34169004453894e-06,2.34169004453894e-06
"118","CA"," Aquabacterium","Healthy",0,0
"119","CA"," Aquamicrobium","Healthy",0,0
"120","CA"," Aquaspirillum","Healthy",0,0
"121","CA"," Aquiflexum","Healthy",0,0
"122","CA"," Aquisphaera","Healthy",0,0
"123","CA"," Aquitalea","Healthy",0,0
"124","CA"," Arachidicoccus","Healthy",0,0
"125","CA"," Arcanobacterium","Healthy",0,0
"126","CA"," Arcicella","Healthy",0,0
"127","CA"," Arcobacter","Healthy",5.01790723829774e-07,5.01790723829774e-07
"128","CA"," Arcobacteraceae","Healthy",5.88116805878816e-07,5.88116805878816e-07
"129","CA"," Arcticibacter","Healthy",0,0
"130","CA"," Arenibacter","Healthy",0,0
"131","CA"," Arenimonas","Healthy",0,0
"132","CA"," Aridibacter","Healthy",0,0
"133","CA"," Armatimonadales","Healthy",0,0
"134","CA"," Armatimonas","Healthy",0,0
"135","CA"," Arthrobacter","Healthy",0.000412033839267002,0.000412033839267002
"136","CA"," Atopobiaceae","Healthy",0,0
"137","CA"," Atopobium","Healthy",0,0
"138","CA"," Atopococcus","Healthy",0,0
"139","CA"," Atopostipes","Healthy",2.17734875366126e-05,2.17734875366126e-05
"140","CA"," Aurantimicrobium","Healthy",0,0
"141","CA"," Aurantisolimonas","Healthy",0,0
"142","CA"," Aureimonas","Healthy",8.32827380519529e-06,8.32827380519529e-06
"143","CA"," Azoarcus","Healthy",0,0
"144","CA"," Azospirillum","Healthy",3.62364530020452e-06,3.62364530020452e-06
"145","CA"," Babeliales","Healthy",0,0
"146","CA"," Bacillaceae","Healthy",0,0
"147","CA"," Bacillales","Healthy",0.00101064755133218,0.00101064755133218
"148","CA"," Bacilli","Healthy",0,0
"149","CA"," Bacillus","Healthy",0.000609231913723995,0.000609231913723995
"150","CA"," Bacteriovorax","Healthy",0,0
"151","CA"," BacteroidaleRF16_group","Healthy",0,0
"152","CA"," Bacteroidales","Healthy",0,0
"153","CA"," BacteroidaleUCG-001","Healthy",0,0
"154","CA"," Bacteroides","Healthy",0.000276912565160762,0.000276912565160762
"155","CA"," BacteroideteVC2.1_Bac22","Healthy",0,0
"156","CA"," Bacteroidia","Healthy",0,0
"157","CA"," Barnesiella","Healthy",0,0
"158","CA"," Bavariicoccus","Healthy",0,0
"159","CA"," BD1-7_clade","Healthy",0,0
"160","CA"," Bdellovibrio","Healthy",0,0
"161","CA"," Beijerinckiaceae","Healthy",0,0
"162","CA"," Belnapia","Healthy",0,0
"163","CA"," Bergeyella","Healthy",0.00200920983686386,0.00200920983686386
"164","CA"," Berkelbacteria","Healthy",0,0
"165","CA"," Beutenbergiaceae","Healthy",0,0
"166","CA"," Bhargavaea","Healthy",2.4630382093246e-05,2.4630382093246e-05
"167","CA"," Bibersteinia","Healthy",0.000617161199724019,0.000617161199724019
"168","CA"," Bifidobacteriaceae","Healthy",0,0
"169","CA"," Bifidobacterium","Healthy",0.00130421658508669,0.00130421658508669
"170","CA"," Bilophila","Healthy",0,0
"171","CA"," Blastocatella","Healthy",0,0
"172","CA"," Blastocatellaceae","Healthy",2.98604917823927e-06,2.98604917823927e-06
"173","CA"," Blastococcus","Healthy",1.22316777621575e-06,1.22316777621575e-06
"174","CA"," Blastomonas","Healthy",5.34606641931236e-06,5.34606641931236e-06
"175","CA"," Blastopirellula","Healthy",0,0
"176","CA"," Blautia","Healthy",4.40619698079218e-05,4.40619698079218e-05
"177","CA"," Blfdi19","Healthy",0,0
"178","CA"," Bogoriella","Healthy",0,0
"179","CA"," Bordetella","Healthy",0,0
"180","CA"," Bosea","Healthy",4.82869970932506e-06,4.82869970932506e-06
"181","CA"," Brachybacterium","Healthy",0.00116984149470491,0.00116984149470491
"182","CA"," Brachymonas","Healthy",1.99680245367086e-06,1.99680245367086e-06
"183","CA"," Bradymonadaceae","Healthy",0,0
"184","CA"," Bradymonadales","Healthy",0,0
"185","CA"," Bradyrhizobium","Healthy",0,0
"186","CA"," Brevibacillus","Healthy",0,0
"187","CA"," Brevibacterium","Healthy",0.000382871012381291,0.000382871012381291
"188","CA"," Brevundimonas","Healthy",0.0168403952992071,0.0168403952992071
"189","CA"," Breznakia","Healthy",1.14872021081313e-06,1.14872021081313e-06
"190","CA"," Brochothrix","Healthy",0,0
"191","CA"," Brumimicrobium","Healthy",0,0
"192","CA"," Bryobacter","Healthy",0,0
"193","CA"," BSV13","Healthy",0,0
"194","CA"," Burkholderia-Caballeronia-Paraburkholderia","Healthy",0,0
"195","CA"," Burkholderiaceae","Healthy",0,0
"196","CA"," Burkholderiales","Healthy",0,0
"197","CA"," Butyricicoccaceae","Healthy",0,0
"198","CA"," Butyricicoccus","Healthy",1.70187806458557e-05,1.70187806458557e-05
"199","CA"," Butyricimonas","Healthy",0,0
"200","CA"," Butyrivibrio","Healthy",0,0
"201","CA"," C0119","Healthy",0,0
"202","CA"," C1-B045","Healthy",0,0
"203","CA"," Caedibacter","Healthy",0,0
"204","CA"," Caenarcaniphilales","Healthy",0,0
"205","CA"," CAG-352","Healthy",4.43253176906332e-07,4.43253176906332e-07
"206","CA"," CAG-56","Healthy",0,0
"207","CA"," Caldibacillus","Healthy",0,0
"208","CA"," Caldicoprobacter","Healthy",0,0
"209","CA"," Caloramatoraceae","Healthy",0,0
"210","CA"," Caloribacterium","Healthy",0,0
"211","CA"," Camelimonas","Healthy",0,0
"212","CA"," Campylobacter","Healthy",6.99945579231215e-07,6.99945579231215e-07
"213","CA"," CandidatuAlysiosphaera","Healthy",0,0
"214","CA"," CandidatuArthromitus","Healthy",0,0
