"","Genus","Status","Abundance.average","overall.max"
"444"," Fusobacterium","Healthy",0.000247649307817822,0.000247649307817822
"445"," Gaiella","Healthy",0,0
"446"," Galbibacter","Healthy",1.10829378063321e-06,1.10829378063321e-06
"447"," Gallibacterium","Healthy",0.000110906781140142,0.000110906781140142
"448"," Gallicola","Healthy",4.70024679463695e-05,4.70024679463695e-05
"449"," Gammaproteobacteria","Healthy",1.67130141344103e-05,1.67130141344103e-05
"450"," Garicola","Healthy",0.00030521603810548,0.00030521603810548
"451"," Gastranaerophilales","Healthy",0.000318830468292782,0.000318830468292782
"452"," GCA-900066575","Healthy",2.26914227959559e-05,2.26914227959559e-05
"453"," Gelidibacter","Healthy",9.50375668081811e-05,9.50375668081811e-05
"454"," Gemella","Healthy",1.00758304876478e-05,1.00758304876478e-05
"455"," Gemmata","Healthy",3.15646983548513e-05,3.15646983548513e-05
"456"," Gemmataceae","Healthy",5.07485924877874e-07,5.07485924877874e-07
"457"," Gemmatimonas","Healthy",4.99044205585253e-07,4.99044205585253e-07
"458"," Gemmobacter","Healthy",0.000898914732455957,0.000898914732455957
"459"," Geobacillus","Healthy",2.23084214354773e-06,2.23084214354773e-06
"460"," Geodermatophilaceae","Healthy",0,0
"461"," Geodermatophilus","Healthy",0,0
"462"," Georgenia","Healthy",8.4175237041747e-05,8.4175237041747e-05
"463"," Geothrix","Healthy",3.31003236053137e-07,3.31003236053137e-07
"464"," Gitt-GS-136","Healthy",1.195808727108e-06,1.195808727108e-06
"465"," GKS98_freshwater_group","Healthy",0,0
"466"," Globicatella","Healthy",0.000263239687322062,0.000263239687322062
"467"," Gluconacetobacter","Healthy",0,0
"468"," Gluconobacter","Healthy",0,0
"469"," Glutamicibacter","Healthy",0.00578526879374937,0.00578526879374937
"470"," Glycocaulis","Healthy",7.6122888731681e-07,7.6122888731681e-07
"471"," Glycomyces","Healthy",6.320355077283e-06,6.320355077283e-06
"472"," Gordonia","Healthy",0.000260395711800336,0.000260395711800336
"473"," Gordonibacter","Healthy",7.07657674412471e-07,7.07657674412471e-07
"474"," Gottschalkia","Healthy",2.65925307026562e-05,2.65925307026562e-05
"475"," Gracilibacillus","Healthy",7.95778096154209e-06,7.95778096154209e-06
"476"," Gracilibacteria","Healthy",0.000119352055566917,0.000119352055566917
"477"," Granulicatella","Healthy",8.3131379502063e-06,8.3131379502063e-06
"478"," Guggenheimella","Healthy",5.06666280401172e-05,5.06666280401172e-05
"479"," Gulbenkiania","Healthy",0,0
"480"," Gulosibacter","Healthy",5.47345820091072e-05,5.47345820091072e-05
"481"," H1","Healthy",1.4601463673476e-05,1.4601463673476e-05
"482"," Haemophilus","Healthy",6.18515277382494e-05,6.18515277382494e-05
"483"," Hafnia-Obesumbacterium","Healthy",0,0
"484"," Hahella","Healthy",4.49660195249375e-06,4.49660195249375e-06
"485"," Halanaerobiaceae","Healthy",2.26255093567794e-07,2.26255093567794e-07
"486"," Haloactinopolyspora","Healthy",1.08783031150356e-06,1.08783031150356e-06
"487"," Halocella","Healthy",1.20906488084826e-05,1.20906488084826e-05
"488"," Haloferula","Healthy",0,0
"489"," Halolactibacillus","Healthy",4.43234734803023e-06,4.43234734803023e-06
"490"," Halomonas","Healthy",0.00452101487247216,0.00452101487247216
"491"," Haoranjiania","Healthy",1.04972609525635e-05,1.04972609525635e-05
"492"," HAW-RM37-2","Healthy",1.98210260453237e-06,1.98210260453237e-06
"493"," Helcobacillus","Healthy",0,0
"494"," Helcococcus","Healthy",0.000494453211487624,0.000494453211487624
"495"," Helicobacter","Healthy",7.78690772543153e-05,7.78690772543153e-05
"496"," Herbinix","Healthy",8.951858249115e-07,8.951858249115e-07
"497"," Herminiimonas","Healthy",1.26724797605876e-06,1.26724797605876e-06
"498"," Herpetosiphon","Healthy",0,0
"499"," Hirschia","Healthy",1.03969579864834e-06,1.03969579864834e-06
"500"," Histophilus","Healthy",0.00485212442338307,0.00485212442338307
"501"," Holdemanella","Healthy",0.00022743981779343,0.00022743981779343
"502"," Holosporaceae","Healthy",1.02669419956176e-06,1.02669419956176e-06
"503"," Howardella","Healthy",6.75043800032426e-05,6.75043800032426e-05
"504"," Huakuichenia","Healthy",8.88891456797542e-07,8.88891456797542e-07
"505"," Hungatella","Healthy",1.64860001718446e-05,1.64860001718446e-05
"506"," Hydrocarboniphaga","Healthy",1.39320229978265e-06,1.39320229978265e-06
"507"," Hydrogenispora","Healthy",1.15829832313195e-05,1.15829832313195e-05
"508"," Hydrogenoanaerobacterium","Healthy",2.65465312244946e-07,2.65465312244946e-07
"509"," Hydrogenophaga","Healthy",9.77959228097013e-06,9.77959228097013e-06
"510"," Hymenobacter","Healthy",0.000332351722175969,0.000332351722175969
"511"," Hyphomicrobium","Healthy",1.02638700563441e-06,1.02638700563441e-06
"512"," Hyphomonas","Healthy",1.00284750288233e-06,1.00284750288233e-06
"513"," Hypnocyclicus","Healthy",6.34076703109464e-05,6.34076703109464e-05
"514"," Iamia","Healthy",5.15972191273739e-05,5.15972191273739e-05
"515"," Idiomarina","Healthy",0.00192959013202021,0.00192959013202021
"516"," Ignatzschineria","Healthy",0.000105506927908851,0.000105506927908851
"517"," Ignavigranum","Healthy",8.63149149221342e-05,8.63149149221342e-05
"518"," Ilumatobacter","Healthy",0,0
"519"," IMCC26134","Healthy",7.79844908343853e-07,7.79844908343853e-07
"520"," IMCC26207","Healthy",8.3362056467377e-07,8.3362056467377e-07
"521"," IMCC26256","Healthy",4.64901991686623e-07,4.64901991686623e-07
"522"," Incertae_Sedis","Healthy",2.04794383286574e-05,2.04794383286574e-05
"523"," Intestinibacter","Healthy",2.34035916657537e-06,2.34035916657537e-06
"524"," Intestinimonas","Healthy",1.36605356881495e-06,1.36605356881495e-06
"525"," Intrasporangiaceae","Healthy",0.000418822327773839,0.000418822327773839
"526"," Irregularibacter","Healthy",2.05723618426592e-06,2.05723618426592e-06
"527"," Isoptericola","Healthy",5.58032057713634e-06,5.58032057713634e-06
"528"," Isosphaeraceae","Healthy",1.53352549600595e-05,1.53352549600595e-05
"529"," Izemoplasmatales","Healthy",3.80161788326618e-06,3.80161788326618e-06
"530"," Izhakiella","Healthy",1.65175217044365e-06,1.65175217044365e-06
"531"," Janibacter","Healthy",2.130676866701e-05,2.130676866701e-05
"532"," Janthinobacterium","Healthy",6.53834387243198e-05,6.53834387243198e-05
"533"," Jeotgalibaca","Healthy",0.00271899792972678,0.00271899792972678
"534"," Jeotgalicoccus","Healthy",0.0113635890600817,0.0113635890600817
"535"," JG30-KF-CM45","Healthy",0.000536936418232373,0.000536936418232373
"536"," JG30-KF-CM66","Healthy",1.39910690342665e-06,1.39910690342665e-06
"537"," JGI_0000069-P22","Healthy",2.88190155335668e-05,2.88190155335668e-05
"538"," JGI_0001001-H03","Healthy",1.20825333689365e-06,1.20825333689365e-06
"539"," Johnsonella","Healthy",0,0
"540"," Jonesia","Healthy",2.02774001480572e-05,2.02774001480572e-05
"541"," Kaistia","Healthy",2.03870980782444e-06,2.03870980782444e-06
"542"," Kapabacteriales","Healthy",1.07958871988127e-06,1.07958871988127e-06
"543"," KCM-B-112","Healthy",0,0
"544"," KD4-96","Healthy",7.53787688913328e-07,7.53787688913328e-07
"545"," KI89A_clade","Healthy",5.28348820117832e-07,5.28348820117832e-07
"546"," Kineococcus","Healthy",3.16679334217384e-05,3.16679334217384e-05
"547"," Kineosphaera","Healthy",9.27972477573612e-07,9.27972477573612e-07
"548"," Kineosporia","Healthy",0,0
"549"," Kineosporiaceae","Healthy",4.98926829228633e-06,4.98926829228633e-06
"550"," Kingella","Healthy",1.78936670162446e-05,1.78936670162446e-05
"551"," Klenkia","Healthy",3.10437908069688e-05,3.10437908069688e-05
"552"," Kocuria","Healthy",0.00418795385858618,0.00418795385858618
"553"," Kosakonia","Healthy",1.13202501429015e-06,1.13202501429015e-06
"554"," Kroppenstedtia","Healthy",0,0
"555"," Kurthia","Healthy",0.000163834174286709,0.000163834174286709
"556"," Kushneria","Healthy",1.67892828411198e-05,1.67892828411198e-05
"557"," Laceyella","Healthy",4.98788277012378e-06,4.98788277012378e-06
"558"," Lachnoanaerobaculum","Healthy",3.26116271538757e-07,3.26116271538757e-07
"559"," Lachnoclostridium","Healthy",0.00062656315864859,0.00062656315864859
"560"," Lachnospira","Healthy",6.48102847087268e-06,6.48102847087268e-06
"561"," Lachnospiraceae","Healthy",0.00344221871525294,0.00344221871525294
"562"," Lachnospiraceae_AC2044_group","Healthy",5.40853101760475e-05,5.40853101760475e-05
"563"," Lachnospiraceae_FCS020_group","Healthy",3.75942000095977e-05,3.75942000095977e-05
"564"," Lachnospiraceae_FE2018_group","Healthy",4.43234759043421e-06,4.43234759043421e-06
"565"," Lachnospiraceae_ND3007_group","Healthy",6.23784584997129e-06,6.23784584997129e-06
"566"," Lachnospiraceae_NK3A20_group","Healthy",0.000729584778400654,0.000729584778400654
"567"," Lachnospiraceae_NK4A136_group","Healthy",9.94974747861086e-05,9.94974747861086e-05
"568"," Lachnospiraceae_UCG-001","Healthy",1.52818815784074e-05,1.52818815784074e-05
"569"," Lachnospiraceae_UCG-002","Healthy",1.85443678561069e-05,1.85443678561069e-05
"570"," Lachnospiraceae_UCG-003","Healthy",2.67713551909708e-06,2.67713551909708e-06
"571"," Lachnospiraceae_UCG-004","Healthy",7.04491625213558e-05,7.04491625213558e-05
"572"," Lachnospiraceae_UCG-007","Healthy",1.30288194420112e-05,1.30288194420112e-05
"573"," Lachnospiraceae_UCG-008","Healthy",2.85467295465841e-06,2.85467295465841e-06
"574"," Lachnospiraceae_UCG-009","Healthy",6.87555586779166e-06,6.87555586779166e-06
"575"," Lachnospiraceae_UCG-010","Healthy",0.000145589371089392,0.000145589371089392
"576"," Lachnospiraceae_XPB1014_group","Healthy",1.26354689915746e-05,1.26354689915746e-05
"577"," Lacticigenium","Healthy",3.38781507725757e-05,3.38781507725757e-05
"578"," Lactobacillaceae","Healthy",8.89088044610882e-07,8.89088044610882e-07
"579"," Lactobacillales","Healthy",1.2178118844445e-05,1.2178118844445e-05
"580"," Lactobacillus","Healthy",0.00775794888379778,0.00775794888379778
"581"," Lactococcus","Healthy",0.00027964296577782,0.00027964296577782
"582"," Lactonifactor","Healthy",0,0
"583"," Lampropedia","Healthy",3.72823694787488e-06,3.72823694787488e-06
"584"," Latescibacterota","Healthy",0,0
"585"," Lautropia","Healthy",0.000367714497013322,0.000367714497013322
"586"," Lawsonella","Healthy",9.04583281237619e-06,9.04583281237619e-06
"587"," LD29","Healthy",1.10980726602186e-05,1.10980726602186e-05
"588"," Leadbetterella","Healthy",9.91449126307197e-06,9.91449126307197e-06
"589"," Lechevalieria","Healthy",3.82187270488582e-06,3.82187270488582e-06
"590"," Legionella","Healthy",4.68165915406953e-06,4.68165915406953e-06
"591"," Lentimicrobium","Healthy",1.7313323747967e-06,1.7313323747967e-06
"592"," Leptotrichia","Healthy",2.98156196765665e-05,2.98156196765665e-05
"593"," Leptotrichiaceae","Healthy",0,0
"594"," Leucobacter","Healthy",0.000646937151127306,0.000646937151127306
"595"," Leuconostoc","Healthy",5.30035977618402e-05,5.30035977618402e-05
"596"," Limibaculum","Healthy",3.3294853361475e-07,3.3294853361475e-07
"597"," Limnobacter","Healthy",6.60700868177458e-07,6.60700868177458e-07
"598"," Limnochordaceae","Healthy",3.52826092900874e-07,3.52826092900874e-07
"599"," Lipingzhangella","Healthy",0,0
"600"," Listeria","Healthy",0,0
"601"," LiUU-11-161","Healthy",0,0
"602"," Longimicrobiaceae","Healthy",1.63545169455079e-05,1.63545169455079e-05
"603"," Longispora","Healthy",5.371114949469e-07,5.371114949469e-07
"604"," Luteibacter","Healthy",2.06840189136087e-05,2.06840189136087e-05
"605"," Luteimonas","Healthy",0.000635492451087518,0.000635492451087518
