"","Family","Status","Abundance.average","overall.max"
"339"," Sanguibacteraceae","BRD",8.99369596166087e-05,8.99369596166087e-05
"340"," Saprospiraceae","BRD",3.9772718985071e-05,3.9772718985071e-05
"341"," SAR324_clade(Marine_grouB)","BRD",4.79741568499098e-06,4.79741568499098e-06
"342"," SBR1031","BRD",0,0
"343"," Schlesneriaceae","BRD",7.31397465980496e-06,7.31397465980496e-06
"344"," Sedimentibacteraceae","BRD",7.80906837432159e-06,7.80906837432159e-06
"345"," Selenomonadaceae","BRD",0.00207179805277679,0.00207179805277679
"346"," Sericytochromatia","BRD",3.08365734932055e-06,3.08365734932055e-06
"347"," Shewanellaceae","BRD",7.12866601830987e-05,7.12866601830987e-05
"348"," Silvanigrellaceae","BRD",2.42373111865238e-06,2.42373111865238e-06
"349"," SM2D12","BRD",0,0
"350"," Solibacteraceae","BRD",8.5696742366884e-07,8.5696742366884e-07
"351"," Solimonadaceae","BRD",4.07783710215194e-07,4.07783710215194e-07
"352"," Solirubrobacteraceae","BRD",1.74981771098002e-05,1.74981771098002e-05
"353"," Sphingobacteriaceae","BRD",0.0100769455945155,0.0100769455945155
"354"," Sphingomonadaceae","BRD",0.00172645653558077,0.00172645653558077
"355"," Spirochaetaceae","BRD",0.000337120066102256,0.000337120066102256
"356"," Spirosomaceae","BRD",0.000130211454981008,0.000130211454981008
"357"," Spongiibacteraceae","BRD",4.95061570435147e-06,4.95061570435147e-06
"358"," Sporolactobacillaceae","BRD",2.27173145226567e-06,2.27173145226567e-06
"359"," Sporomusaceae","BRD",1.10547025507012e-06,1.10547025507012e-06
"360"," Staphylococcaceae","BRD",0.0256805262427779,0.0256805262427779
"361"," Stappiaceae","BRD",1.10001535253379e-05,1.10001535253379e-05
"362"," Steroidobacteraceae","BRD",8.89658991762228e-07,8.89658991762228e-07
"363"," Streptococcaceae","BRD",0.0599036336689894,0.0599036336689894
"364"," Streptomycetaceae","BRD",3.10313343647707e-05,3.10313343647707e-05
"365"," Streptosporangiaceae","BRD",0,0
"366"," Subgrou22","BRD",6.07293806835109e-07,6.07293806835109e-07
"367"," Subgrou5","BRD",1.03613347108728e-06,1.03613347108728e-06
"368"," Subgrou7","BRD",2.29934469541388e-06,2.29934469541388e-06
"369"," Succinivibrionaceae","BRD",0.000449400828223378,0.000449400828223378
"370"," Sulfurimonadaceae","BRD",0,0
"371"," Sulfurospirillaceae","BRD",0,0
"372"," Sulfurovaceae","BRD",6.00606552557428e-07,6.00606552557428e-07
"373"," Sumerlaeaceae","BRD",3.08916210383869e-05,3.08916210383869e-05
"374"," Sutterellaceae","BRD",0.000101005956320617,0.000101005956320617
"375"," Symbiobacteraceae","BRD",0,0
"376"," Synergistaceae","BRD",0.000373928184760796,0.000373928184760796
"377"," Tannerellaceae","BRD",9.01783116163394e-05,9.01783116163394e-05
"378"," Tepidisphaeraceae","BRD",2.49450508038863e-06,2.49450508038863e-06
"379"," Terrimicrobiaceae","BRD",2.28900993651703e-06,2.28900993651703e-06
"380"," Thermaceae","BRD",8.4474516466791e-06,8.4474516466791e-06
"381"," Thermacetogeniaceae","BRD",0,0
"382"," Thermoactinomycetaceae","BRD",2.09802722934012e-05,2.09802722934012e-05
"383"," Thermoanaerobacteraceae","BRD",2.08498611920491e-06,2.08498611920491e-06
"384"," Thermoanaerobaculaceae","BRD",1.76864372693612e-06,1.76864372693612e-06
"385"," Thermomicrobiaceae","BRD",3.71932190385712e-07,3.71932190385712e-07
"386"," Thermomicrobiales","BRD",0,0
"387"," Thermotaleaceae","BRD",6.60093456031505e-07,6.60093456031505e-07
"388"," TK10","BRD",0,0
"389"," TRA3-20","BRD",4.54390755147452e-07,4.54390755147452e-07
"390"," Trichomonadea","BRD",0,0
"391"," Trueperaceae","BRD",3.35560867826939e-05,3.35560867826939e-05
"392"," Tsukamurellaceae","BRD",3.42092825382959e-07,3.42092825382959e-07
"393"," UBA12409","BRD",5.53149901383766e-06,5.53149901383766e-06
"394"," UCG-010","BRD",0.000118300081883248,0.000118300081883248
"395"," UCG-011","BRD",0,0
"396"," uncultured","BRD",9.64762490627451e-06,9.64762490627451e-06
"397"," Unknown_Family","BRD",2.99456430554865e-06,2.99456430554865e-06
"398"," vadinBE97","BRD",9.45877113630885e-07,9.45877113630885e-07
"399"," Vagococcaceae","BRD",0.000202025203228061,0.000202025203228061
"400"," Veillonellaceae","BRD",0.00352067199473136,0.00352067199473136
"401"," Verrucomicrobiaceae","BRD",5.72949195299104e-05,5.72949195299104e-05
"402"," Vibrionaceae","BRD",0.0350894899351136,0.0350894899351136
"403"," Vicinamibacteraceae","BRD",3.54716695376516e-05,3.54716695376516e-05
"404"," Victivallaceae","BRD",4.93135857079366e-06,4.93135857079366e-06
"405"," WCHB1-41","BRD",9.836151263153e-06,9.836151263153e-06
"406"," WD2101_soil_group","BRD",9.8807810853404e-06,9.8807810853404e-06
"407"," Weeksellaceae","BRD",0.0249918592773771,0.0249918592773771
"408"," Woesearchaeales","BRD",0,0
"409"," Woeseiaceae","BRD",1.72140968555228e-07,1.72140968555228e-07
"410"," Wohlfahrtiimonadaceae","BRD",0.000120278156227158,0.000120278156227158
"411"," WPS-2","BRD",5.34081877166711e-05,5.34081877166711e-05
"412"," WS1","BRD",0,0
"413"," Xanthobacteraceae","BRD",5.54454786366354e-06,5.54454786366354e-06
"414"," Xanthomonadaceae","BRD",0.00449622852268591,0.00449622852268591
"415"," Xiphinematobacteraceae","BRD",0,0
"416"," Yersiniaceae","BRD",0.0020873975555228,0.0020873975555228
"417","Bacteria","BRD",0.000367811415635685,0.000367811415635685
"418","Eukaryota","BRD",3.2317150823032e-05,3.2317150823032e-05
"419","Unassigned","BRD",2.11311772770534e-07,2.11311772770534e-07
