Name,ID,Status,State,Farm,Date.of.colleciton,RectaTemp,X16S.copies,Hscopy_log,HScopies,HSpre_abs,MBcopy_log,MBpre_abs,MBcopies,MHcopy_log,MHpre_abs,MHcopies,PMcopy_log,PMpre_abs,PMcopies,quality,HSRel,PMRel,MBRel,MHRel,BactABund,HSRelBact,PMRelBact,MBRelBact,MHRelBact,X16S_log
Beef 449,Beef449,Healthy,IN,Farm3,7/21/20,104.7,41998340.46,3.716892465,5210.656754,1,2.826074803,0,670,5.004111615,1,100951.23,3.851332968,1,7101.22,Clean,0.000124068,0.000169083,1.60E-05,0.002403696,113933.1068,0.045734352,0.062327976,0.005880644,0.886057028,7.62323214
Beef 45,Beef45,BRD,TX,Farm1,3/15/21,105,766422245.6,7.460277287,28858734.8,1,3.750367104,1,5628.168665,4.853835475,1,71422.57026,4.419156959,1,26251.67137,Clean,0.037653832,3.43E-05,7.34E-06,9.32E-05,28962037.21,0.996433179,0.000906417,0.000194329,0.002466075,8.884468102
Beef 450,Beef450,Healthy,IN,Farm3,7/21/20,103.3,119818020.6,5.615193757,412281.4139,1,2.826074803,0,670,3.471522002,1,2961.57,5.911939227,1,816468.11,Clean,0.003440897,0.006814235,5.59E-06,2.47E-05,1232381.094,0.334540522,0.662512687,0.000543663,0.002403128,8.078522144
Beef 451,Beef451,BRD,IN,Farm3,7/21/20,NA,155020255.1,3.474966305,2985.151002,1,2.826074803,0,670,5.575528321,1,376294.89,5.992839643,1,983647.84,Clean,1.93E-05,0.006345286,4.32E-06,0.002427392,1363597.881,0.002189173,0.721362107,0.000491347,0.275957374,8.19038845
Beef 452,Beef452,BRD,IN,Farm3,7/21/20,102.7,359188848.9,4.349556476,22364.36006,1,3.824685433,1,6678.6,4.798451957,1,62871.23,6.299716326,1,1993959.47,Clean,6.23E-05,0.005551284,1.86E-05,0.000175037,2085873.66,0.010721819,0.95593492,0.003201824,0.030141437,8.555322847
Beef 453,Beef453,BRD,IN,Farm3,7/21/20,102.9,189548545.8,6.530964409,3395974.412,1,3.80388096,1,6366.21,4.041509929,1,11002.97,5.911612687,1,815854.45,Clean,0.01791612,0.004304198,3.36E-05,5.80E-05,4229198.042,0.802983066,0.192909966,0.0015053,0.002601668,8.277720459
Beef 454,Beef454,BRD,IN,Farm3,7/21/20,103.3,447870848.6,4.952128639,89563.00132,1,3.562628272,1,3652.82,3.155927854,1,1431.95,4.942130879,1,87524.75,Clean,0.000199975,0.000195424,8.16E-06,3.20E-06,182172.5213,0.491638369,0.480449792,0.020051432,0.007860406,8.651152797
Beef 455,Beef455,Healthy,IN,Farm3,7/21/20,103.3,1390636864,4.947793094,88673.34557,1,5.974277359,1,942491.32,3.133819832,1,1360.88,6.472869234,1,2970771.4,Clean,6.38E-05,0.002136267,0.000677741,9.79E-07,4003296.946,0.022150079,0.7420812,0.235428781,0.00033994,9.143213738
Beef 456,Beef456,Healthy,IN,Farm3,7/21/20,102.3,303921189.9,4.758298493,57318.98523,1,2.826074803,0,670,2.230448921,0,170,3.453827267,1,2843.33,Clean,0.000188598,9.36E-06,2.20E-06,5.59E-07,61002.31523,0.939619833,0.046610198,0.01098319,0.002786779,8.482760982
Beef 457,Beef457,BRD,IN,Farm3,7/21/20,104.7,4967512471,2.278753601,190,0,2.826074803,0,670,2.230448921,0,170,5.085535028,1,121768.52,Clean,3.82E-08,2.45E-05,1.35E-07,3.42E-08,122798.52,0.00154725,0.991612277,0.005456092,0.001384382,9.696138966
Beef 458,Beef458,BRD,IN,Farm3,7/21/20,104,9405954.64,6.295827917,1976186.449,1,4.870993139,1,74300.74,4.699273383,1,50034.94,5.17034484,1,148028.33,Clean,0.210099509,0.015737725,0.00789933,0.005319496,2248550.459,0.878871293,0.065832781,0.033043839,0.022252087,6.973402926
Beef 459,Beef459,Healthy,IN,Farm3,8/12/20,103.2,45153064.43,5.250894747,178194.6854,1,3.043876838,1,1106.31,2.230448921,0,170,5.492207995,1,310604.68,Clean,0.003946458,0.006878928,2.45E-05,3.76E-06,490075.6754,0.363606468,0.63378922,0.002257427,0.000346885,7.65468724
Beef 460,Beef460,Healthy,IN,Farm3,8/12/20,102.7,22145527.93,4.833714314,68188.99885,1,2.826074803,0,670,3.201732958,1,1591.23,4.887776981,1,77228.39,Clean,0.003079132,0.003487313,3.03E-05,7.19E-05,147678.6189,0.461739143,0.522949027,0.004536879,0.010774952,7.345286058
Beef 461,Beef461,BRD,IN,Farm3,8/12/20,102.4,237008221.2,3.475738828,2990.465714,1,2.826074803,0,670,4.070042672,1,11750.13,5.249111123,1,177464.35,Clean,1.26E-05,0.000748769,2.83E-06,4.96E-05,192874.9457,0.015504687,0.920100583,0.003473753,0.060920976,8.374763413
