# Constructed from biom file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#OTU ID,Dairy317,Dairy318,Dairy320,Dairy321,Dairy322,Dairy323,Dairy324,Dairy325,Dairy326,Dairy327,Dairy328,Dairy329,Dairy330,Dairy331,Dairy332,Dairy333,Dairy334,Dairy335,Dairy336,Dairy337,Dairy338,Dairy340,Dairy341,Dairy342,Dairy343,Dairy344,Dairy345,Dairy346,Dairy347,Dairy348,Dairy349,Dairy351,Dairy352,Dairy355,Dairy356,Dairy357,Dairy358,Dairy359,Dairy360,Dairy361,Dairy362,Dairy363,Dairy364,Dairy365,Dairy366,Dairy367,Dairy368,Dairy369,Dairy370,Dairy372,Dairy373,Dairy374,Dairy375,Dairy376,Dairy377,Dairy378,Dairy379,Dairy381,Dairy382,Dairy383,Dairy384,Dairy385,Dairy386,Dairy387,Dairy388,Dairy389,Dairy390,Dairy391,Dairy392,Dairy393,Dairy394,Dairy395,Dairy396,Dairy398,Dairy401,Dairy402,Dairy403,Dairy404,Dairy405,Dairy406,Dairy407,Dairy408,Dairy409,Dairy410,Dairy411,Dairy412,Dairy413,Dairy414,Dairy415,Dairy416,Dairy417,Dairy418,Dairy419,Dairy420,Dairy421
ASV6341,0,11889,0,0,0,0,2963,17043,0,0,3349,0,0,0,0,0,0,0,0,0,964,0,0,46,31142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8295,0,0,16629,0,31,0,0,0,0,0,0,0,0,0,0,6,26332,0,0,10523,0,15,0,0,4978,0,17911,0,0,18907,0,0,36,32031,11,0,15533,0,215,37,23,0,0,11219,6,12,13763,0,0,9739,0,0,0
ASV203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV6991,354,9,0,0,0,3386,75,0,11353,0,82,478,11,11,159,12,953,156,43,0,0,4711,18,239,0,2733,475,788,9378,22,210,242,65,9,30,0,187,0,340,2511,0,1919,132,0,0,61,532,3014,0,1983,7402,558,3368,33367,95,0,2424,65,68,527,115,35008,41,9,4052,28297,0,0,3740,653,6267,0,1411,266,5181,476,0,9311,1623,107,8,0,4007,246,0,19,0,13601,641,0,937,0,94,0,0
ASV2138,8,38,17,240,17,16,3,0,8,1900,0,0,19429,8349,91245,16,0,0,0,3,143,0,14,5,182,0,16,0,104,0,0,0,16,0,0,2487,0,6,4,7,5,5531,0,8295,0,0,14,0,582,0,13,0,101,3430,0,19,0,0,0,0,4,0,0,0,461,0,4428,0,264,531,0,1062,0,0,21,623,0,0,0,62,22,2297,4,3,3010,5376,0,0,89,1409,5,154,9,4647,390
ASV6390,152,159,142,0,53,42,25,0,41,29,14,13,28,0,27,89,0,39,30,43,0,14,79,13,61,21,38,25,759,21,0,15,0,26,16,28,72,93,33,67,19,35,0,17,10,12,268,2,7,0,50,13,0,32,11,264,14,5,32,8,66,38,46,184,0,34,0,8,37,18,44,31,108,25,411,29,106,18,19,8,238,57,83,29,29,100,0,33,22,0,10,10,54,0,6387
ASV576,166,157,161,0,44,36,22,0,48,12,18,0,36,0,29,110,0,51,31,67,8,16,72,20,52,28,32,26,678,21,0,13,0,26,0,41,72,103,45,62,17,42,10,27,6,14,315,0,10,9,41,0,13,27,0,220,11,0,36,0,81,37,54,161,13,27,0,0,33,29,54,39,102,35,362,42,122,32,9,23,224,59,92,29,31,111,15,24,0,0,11,6,81,6,5668
ASV2376,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV6537,0,0,0,0,623,0,0,0,0,3033,124,53,0,0,0,0,17,4311,78,0,0,0,0,0,0,0,0,0,0,264,35,0,0,0,0,0,0,0,0,2866,0,0,0,0,0,0,664,0,0,0,0,7,0,52,0,0,11,0,1088,4,0,0,0,0,140,0,0,591,0,157,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2832,628,0,20,0,11,3,0,0,0,35,12,0,0,0,0,0,4,117,376,371,0,47,0,3,0,176,68,3,0,177,0,0,0,7,0,3,8,0,41,56,0,0,0,0,0,0,955,0,0,464,0,13,13,75,0,0,87,13,19,0,69,0,0,0,52,0,0,27,2584,0,74,0,0,8,243,0,267,43,0,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
ASV10991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV9334,0,0,0,0,25,0,4743,130,510,0,628,586,0,566,10881,0,0,0,0,0,864,0,0,466,20191,0,0,0,0,0,11,0,0,0,35,3403,0,764,0,1373,0,15098,82,51,84,0,13,0,1512,1817,567,82,192,7390,306,107,0,0,8,0,28,152,103,18368,1282,916,4322,0,350,0,0,66,0,69,0,1923,4365,39,0,74,14686,1977,15,0,4775,17555,35,0,278,3511,0,20,83,4335,0
